Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
206,윤대경,24 P,6.3,7,8.22,7.04,1.17,1.17,17.5,15.0,2.5,0.36,50.0,10.57,10.57,11.97,11.77,6.3,4.93,5.1,4.27,213.74,215.91,129.51,0.345,0.425,0.552,0.977,149,21.3,19.4,3.73
208,이교훈,24 P,6.31,33,6.88,4.33,1.59,1.78,16.3,10.2,6.0,0.324,57.7,7.39,8.15,8.32,8.78,6.31,4.06,4.68,1.07,154.98,167.11,134.61,0.297,0.378,0.531,0.909,653,19.8,18.5,3.93
209,나균안,24 P,6.32,26,9.12,5.8,1.57,1.85,19.5,12.4,7.1,0.42,64.1,8.51,9.0,9.06,8.73,6.32,3.99,4.55,2.19,163.91,152.53,123.72,0.353,0.44,0.551,0.991,1491,57.3,20.4,3.92
210,양지율,24 P,6.39,21,3.38,6.27,0.54,0.48,8.4,15.7,-7.2,0.25,60.0,6.27,6.27,5.45,5.92,6.39,5.87,6.27,-0.12,133.37,114.3,138.19,0.235,0.373,0.338,0.711,345,16.4,18.5,4.16
211,이재익,24 P,6.39,9,5.59,3.72,1.5,1.86,10.3,6.9,3.4,0.587,46.7,17.69,17.69,16.53,17.15,6.39,4.05,4.99,11.3,339.75,298.67,124.77,0.537,0.569,0.704,1.273,222,24.7,23.0,3.83
212,육청명,24 P,6.41,13,4.03,4.03,1.0,1.21,9.6,9.6,0.0,0.299,67.1,5.44,6.25,5.83,5.85,6.41,4.95,5.4,-0.97,107.79,105.17,129.14,0.297,0.379,0.486,0.865,766,58.9,17.1,3.68
213,정찬헌,24 P,6.42,4,2.81,1.69,1.67,1.69,6.8,4.1,2.7,0.371,61.5,7.88,7.88,7.48,7.26,6.42,4.34,5.08,1.45,167.57,139.99,138.92,0.371,0.405,0.571,0.976,240,60.0,15.0,3.24
214,최민준,24 P,6.43,32,9.15,5.49,1.67,2.06,19.8,11.9,7.9,0.419,69.3,7.78,8.24,9.43,9.17,6.43,3.83,4.45,1.35,151.71,162.09,127.41,0.353,0.44,0.572,1.012,782,24.4,19.9,3.87
215,이민석,24 P,6.44,18,5.81,7.26,0.8,0.87,13.1,16.3,-3.3,0.34,62.3,7.26,7.84,7.43,7.14,6.44,5.39,5.79,0.82,139.85,124.8,126.06,0.302,0.425,0.46,0.885,627,34.8,20.2,4.1
216,현도훈,24 P,6.44,8,7.2,5.4,1.33,1.8,16.0,12.0,4.0,0.382,55.6,9.0,9.9,10.85,9.99,6.44,4.16,4.92,2.56,173.41,174.49,126.09,0.341,0.42,0.591,1.011,193,24.1,19.3,3.86
