Rank,Name,Team,Sort,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
271,김주온,24 P,9.15,2,7.71,5.79,1.33,3.86,16.0,12.0,4.0,0.375,37.5,15.43,15.43,18.42,18.21,9.15,4.2,4.92,6.28,300.87,321.91,181.32,0.381,0.44,0.714,1.154,98,49.0,21.0,3.92
272,강건,24 P,9.17,4,6.75,9.0,0.75,2.25,12.5,16.7,-4.2,0.467,66.7,11.25,11.25,13.16,13.69,9.17,6.33,5.9,2.08,222.91,246.02,184.73,0.421,0.542,0.684,1.226,99,24.8,24.8,4.13
273,김태현,24 P,9.19,11,2.7,6.3,0.43,2.7,6.0,14.0,-8.0,0.314,64.7,7.2,9.0,10.08,10.43,9.19,5.78,6.36,-1.99,148.97,195.74,193.21,0.35,0.438,0.675,1.113,187,17.0,18.7,3.74
274,이태양,24 P,9.43,10,1.93,1.93,1.0,3.86,4.2,4.2,0.0,0.325,46.2,11.57,12.54,13.69,13.89,9.43,4.49,5.4,2.14,234.09,254.86,193.83,0.37,0.396,0.696,1.092,180,18.0,19.3,3.75
275,박소준,24 P,10.45,1,4.5,4.5,1.0,4.5,10.0,10.0,0.0,0.286,60.0,11.25,11.25,11.25,10.2,10.45,4.61,5.4,0.8,236.03,194.04,222.79,0.333,0.4,0.667,1.067,71,71.0,17.8,3.55
276,윤중현,24 P,11.14,11,3.48,7.84,0.44,3.48,6.5,14.5,-8.1,0.429,60.7,13.94,14.81,16.77,16.88,11.14,6.68,6.37,2.8,282.64,310.37,229.57,0.458,0.548,0.792,1.34,239,21.7,23.1,3.85
277,전루건,24 P,11.31,6,0.0,14.29,0.0,0.0,0.0,20.5,-20.5,0.517,50.0,22.24,22.24,22.47,21.89,11.31,11.5,7.85,10.92,460.04,410.68,237.82,0.556,0.667,0.667,1.334,174,29.0,30.7,3.95
278,김민재,24 P,12.8,4,6.75,2.25,3.0,6.75,13.6,4.5,9.1,0.429,57.1,15.75,15.75,15.75,14.94,12.8,4.05,4.31,2.95,319.44,274.82,263.81,0.45,0.5,0.9,1.4,85,21.3,21.3,3.86
279,신헌민,24 P,16.27,3,0.0,9.0,0.0,6.0,0.0,16.7,-16.7,0.417,50.0,18.0,21.0,21.0,20.88,16.27,8.46,7.4,1.73,351.02,369.15,322.35,0.538,0.611,1.154,1.765,53,17.7,17.7,2.94
280,강효종,24 P,16.35,1,13.5,20.25,0.67,6.75,22.2,33.3,-11.1,0.333,50.0,20.25,20.25,20.25,18.46,16.35,7.52,6.73,3.9,424.86,351.23,348.59,0.333,0.556,0.833,1.389,33,33.0,24.8,3.67
