,Rank,Name,Team,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAR.1,image_url,team,player_id
169,170,임준섭,24 P,0.06,24,0,24,2,0,0,0,0,0,2,11.1,10,11,8.95,56,12,2,1,0,11,3,0,3,0,0,0,7.94,8.74,7.11,6.62,7.37,2.03,0.06,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,10795
170,171,장재혁,24 P,0.06,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.0,7,2,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.52,2.25,0.06,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14657
171,172,정동윤,24 P,0.06,3,0,3,1,0,0,0,0,0,0,1.2,0,0,0.35,7,1,0,0,0,1,0,0,2,0,0,0,0.0,0.0,1.89,1.76,3.06,1.2,0.06,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,12571
172,173,송명기,24 P,0.04,33,0,33,5,0,0,2,1,0,4,38.1,25,27,28.7,173,40,7,1,4,17,3,1,31,2,0,7,5.87,6.34,6.74,6.82,4.96,1.49,0.04,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14155
173,174,박주현,24 P,0.04,3,0,3,1,0,0,0,0,0,0,3.0,2,2,2.0,13,3,0,0,1,1,0,0,4,0,0,0,6.0,6.0,6.0,5.44,5.87,1.33,0.04,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,13175
174,175,원상현,24 P,0.04,22,10,12,3,0,0,2,5,0,1,65.1,51,54,52.8,324,105,18,2,6,31,2,0,59,3,1,7,7.03,7.44,7.27,7.3,4.6,2.08,0.04,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,16027
175,176,진승현,24 P,0.03,7,0,7,3,0,0,0,1,0,0,6.1,6,6,5.0,32,7,3,0,0,5,0,0,5,2,0,0,8.53,8.53,7.11,6.48,4.67,1.89,0.03,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,15047
176,177,박치국,24 P,0.03,52,0,52,15,0,0,2,3,1,3,48.0,34,34,35.05,222,59,6,0,8,18,10,1,35,1,1,1,6.38,6.38,6.57,6.7,6.1,1.6,0.03,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,12850
177,178,정찬헌,24 P,0.03,4,4,0,0,0,0,0,2,0,0,16.0,14,14,13.3,74,26,5,0,3,3,1,0,5,0,0,0,7.88,7.88,7.48,7.26,6.42,1.81,0.03,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,10533
178,179,정우준,24 P,0.03,8,0,8,5,0,0,0,0,0,0,8.1,4,4,6.6,40,10,2,0,2,7,0,0,5,0,0,0,4.32,4.32,7.13,6.76,8.16,2.04,0.03,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,14795
179,180,양현,24 P,0.02,18,0,18,4,0,0,0,1,0,2,13.0,11,11,10.35,64,21,2,0,4,5,1,0,10,0,0,0,7.62,7.62,7.17,6.71,7.37,2.0,0.02,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,10730
180,181,김영현,24 P,0.02,8,0,8,4,0,0,0,0,0,0,7.1,4,6,6.35,39,9,2,0,1,7,1,0,8,1,0,1,4.91,7.36,7.79,7.47,6.48,2.18,0.02,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14869
181,182,김규연,24 P,0.01,58,1,57,12,0,0,1,0,0,4,59.0,46,50,46.95,270,66,10,1,6,28,4,1,40,3,0,3,7.02,7.63,7.16,7.05,5.4,1.59,0.01,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14871
182,183,이상동,24 P,0.01,29,0,29,8,0,0,0,1,0,3,32.0,19,20,24.45,152,42,9,0,3,14,3,1,30,0,1,4,5.34,5.63,6.88,6.95,4.62,1.75,0.01,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14109
183,184,조동욱,24 P,0.0,21,8,13,6,0,0,1,2,0,0,41.0,29,34,35.9,198,57,10,0,5,14,6,0,32,3,1,1,6.37,7.46,7.88,7.68,5.21,1.73,0.0,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,16108
184,185,김진호,24 P,0.0,2,0,2,1,0,0,0,0,0,0,2.1,2,2,2.0,12,3,0,0,0,2,0,0,3,0,0,0,7.71,7.71,7.71,8.07,3.64,2.14,0.0,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12897
185,186,하준호,24 P,0.0,2,0,2,1,0,0,0,0,0,0,2.0,2,2,2.0,11,5,0,0,0,1,0,0,0,0,0,0,9.0,9.0,9.0,8.38,5.75,3.0,0.0,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,10304
186,187,김도윤,24 P,-0.01,2,0,2,2,0,0,0,0,0,0,2.1,1,2,2.0,12,2,1,0,0,2,1,0,1,0,0,0,3.86,7.71,7.71,8.32,7.11,1.71,-0.01,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14768
187,188,김사윤,24 P,-0.01,23,2,21,10,0,0,0,1,1,0,37.0,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,7.05,7.31,7.29,4.92,1.76,-0.01,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11364
188,189,박준우,24 P,-0.01,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,10,3,1,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.03,4.5,2.0,-0.01,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,16092
189,190,윤정현,24 P,-0.02,2,0,2,2,0,0,0,0,0,0,3.0,3,3,3.0,15,4,0,0,0,2,0,0,1,0,0,0,9.0,9.0,9.0,9.41,5.43,2.0,-0.02,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14131
190,191,류진욱,24 P,-0.03,50,0,50,5,0,0,2,1,0,10,42.1,27,30,31.9,194,52,8,0,4,19,2,0,37,1,0,3,5.74,6.38,6.78,6.7,4.68,1.68,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11355
191,192,김도규,24 P,-0.03,5,0,5,3,0,0,0,1,0,0,4.0,4,4,3.3,25,5,1,0,0,6,2,1,5,0,1,0,9.0,9.0,7.43,8.06,7.27,2.75,-0.03,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,13148
192,193,박준표,24 P,-0.03,8,0,8,2,0,0,0,0,0,1,6.0,4,4,5.2,29,10,2,0,0,3,1,0,4,0,0,0,6.0,6.0,7.8,7.71,4.6,2.17,-0.03,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11070
193,194,손주환,24 P,-0.03,4,1,3,2,0,0,0,1,0,0,3.2,4,4,2.8,16,2,0,0,0,2,1,0,4,0,0,0,9.82,9.82,6.87,6.9,4.01,1.09,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16057
194,195,임상현,24 P,-0.03,12,7,5,1,0,0,1,5,0,0,40.1,29,35,34.5,181,46,13,0,5,23,2,0,21,1,0,1,6.47,7.81,7.7,7.64,6.29,1.71,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16053
195,196,유지성,24 P,-0.04,3,0,3,2,0,0,0,0,0,0,2.1,2,4,2.8,14,5,0,0,1,0,1,0,3,1,0,0,7.71,15.43,10.8,10.82,7.41,2.14,-0.04,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14607
196,197,이호성,24 P,-0.04,16,12,4,0,0,0,2,4,0,0,45.0,37,39,39.2,224,66,13,1,9,26,2,0,28,0,0,3,7.4,7.8,7.84,7.39,6.95,2.04,-0.04,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15496
197,198,최채흥,24 P,-0.04,14,1,13,3,0,0,0,0,0,1,20.0,14,15,16.55,96,24,5,1,4,12,0,0,14,2,0,1,6.3,6.75,7.45,7.37,6.69,1.8,-0.04,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,13156
198,199,최성영,24 P,-0.05,24,4,20,7,0,0,2,0,1,1,46.2,30,37,37.5,218,65,10,0,7,17,0,0,29,3,0,0,5.79,7.14,7.23,7.25,5.3,1.76,-0.05,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12565
199,200,김택형,24 P,-0.05,6,0,6,0,0,0,0,1,0,0,7.0,7,7,6.15,37,10,1,0,1,6,1,1,1,0,1,1,9.0,9.0,7.91,7.9,8.64,2.29,-0.05,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,11373
200,201,채원후,24 P,-0.06,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.0,18,6,2,0,0,3,0,0,2,0,0,2,12.0,12.0,12.0,11.86,5.63,3.0,-0.06,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11387
201,202,홍민기,24 P,-0.06,3,1,2,0,0,0,0,0,0,0,3.2,5,7,5.15,24,8,3,0,0,1,2,0,2,2,0,3,12.27,17.18,12.64,11.95,5.37,2.45,-0.06,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,14625
202,203,배재환,24 P,-0.07,20,0,20,5,0,0,0,1,0,0,19.2,16,17,16.5,91,20,2,0,5,15,0,1,13,0,0,0,7.32,7.78,7.55,7.56,7.94,1.78,-0.07,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11248
203,204,박소준,24 P,-0.07,1,1,0,0,0,0,0,1,0,0,4.0,5,5,5.0,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.2,10.45,2.0,-0.07,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,11491
204,205,김민규,24 P,-0.07,7,0,7,3,0,0,0,0,0,0,6.1,4,4,6.05,30,8,1,0,0,3,0,0,2,0,0,1,5.68,5.68,8.6,8.9,4.88,1.74,-0.07,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16049
205,206,배민서,24 P,-0.08,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,16.17,8.28,4.2,-0.08,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14158
206,207,서의태,24 P,-0.08,11,0,11,2,0,0,1,0,0,0,7.2,8,8,7.3,34,5,1,0,1,8,0,0,7,0,0,1,9.39,9.39,8.57,8.78,6.7,1.7,-0.08,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12574
207,208,문성현,24 P,-0.09,42,0,42,12,0,0,1,2,3,2,38.1,28,28,29.55,189,54,6,2,3,25,2,0,31,1,0,2,6.57,6.57,6.94,7.26,5.29,2.06,-0.09,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,10437
208,209,장지훈,24 P,-0.09,18,0,18,7,0,0,0,0,0,0,21.1,16,16,18.4,101,29,6,0,3,10,1,0,10,1,0,0,6.75,6.75,7.76,7.62,6.3,1.83,-0.09,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,14804
209,210,박세진,24 P,-0.09,6,0,6,3,0,0,0,0,0,0,5.1,2,4,6.2,25,7,1,0,0,4,0,0,2,1,0,0,3.38,6.75,10.46,10.37,5.59,2.06,-0.09,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,12572
210,211,성재헌,24 P,-0.09,30,1,29,3,0,0,0,0,0,1,32.0,26,29,27.9,159,46,13,2,1,16,5,2,20,3,1,2,7.31,8.16,7.85,7.73,4.85,1.94,-0.09,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14667
211,212,권휘,24 P,-0.1,8,0,8,3,0,0,0,0,0,0,9.0,11,11,8.8,49,15,3,0,0,7,0,0,11,0,0,1,11.0,11.0,8.8,9.22,3.55,2.44,-0.1,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13665
212,213,강효종,24 P,-0.1,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3.0,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.46,16.35,3.75,-0.1,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14780
213,214,김연주,24 P,-0.11,34,0,34,11,0,0,1,1,0,1,31.1,23,24,24.5,148,34,10,0,5,17,5,1,18,0,0,2,6.61,6.89,7.04,7.43,6.74,1.63,-0.11,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16127
214,215,손현기,24 P,-0.11,6,2,4,2,0,0,0,1,0,0,14.1,12,14,13.3,69,17,3,1,2,8,3,0,9,0,0,3,7.53,8.79,8.35,8.66,6.67,1.74,-0.11,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16125
215,216,정철원,24 P,-0.11,36,0,36,14,0,0,2,1,6,1,32.1,23,24,25.55,165,39,7,2,5,26,5,0,39,1,0,0,6.4,6.68,7.11,7.01,6.0,2.01,-0.11,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13071
216,217,김윤식,24 P,-0.11,1,1,0,0,0,0,0,0,0,0,3.0,4,4,4.0,17,7,2,0,0,1,0,0,1,1,0,0,12.0,12.0,12.0,12.94,4.4,2.67,-0.11,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14588
217,218,이충호,24 P,-0.12,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.02,4.97,3.0,-0.12,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,11116
218,219,이종민,24 P,-0.12,12,9,3,0,0,0,1,8,0,0,43.2,37,39,36.1,212,56,10,2,9,22,5,2,21,2,1,0,7.63,8.04,7.44,7.72,7.22,1.79,-0.12,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14576
219,220,백승건,24 P,-0.12,10,0,10,7,0,0,0,0,0,0,9.1,8,9,11.05,51,13,2,0,2,9,0,0,5,2,0,1,7.71,8.68,10.66,10.05,8.4,2.36,-0.12,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,14145
220,221,신영우,24 P,-0.13,4,2,2,2,0,0,0,1,0,0,9.1,11,11,10.15,52,9,3,0,0,15,2,0,6,0,0,1,10.61,10.61,9.79,9.54,8.24,2.57,-0.13,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15450
221,222,이채호,24 P,-0.13,9,0,9,1,0,0,0,0,0,0,6.2,7,7,7.0,37,13,0,1,2,3,1,0,5,0,0,1,9.45,9.45,9.45,9.51,7.75,2.4,-0.13,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,13130
222,223,장지수,24 P,-0.14,13,0,13,7,0,0,0,0,0,0,14.0,17,18,14.75,75,23,5,2,0,10,2,2,11,1,0,2,10.93,11.57,9.48,9.15,4.45,2.36,-0.14,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14178
223,224,소이현,24 P,-0.15,4,0,4,3,0,0,0,0,0,0,3.1,5,7,5.95,19,6,3,0,0,1,1,0,1,1,0,0,13.5,18.9,16.07,16.65,5.31,2.1,-0.15,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12900
224,225,김민재,24 P,-0.15,4,0,4,4,0,0,0,0,0,0,4.0,7,7,7.0,22,9,0,0,3,1,1,0,3,0,0,0,15.75,15.75,15.75,14.94,12.8,2.5,-0.15,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,16083
225,226,고효준,24 P,-0.16,26,0,26,2,0,0,2,1,0,5,22.0,20,21,19.25,109,23,4,0,4,20,1,1,27,1,0,2,8.18,8.59,7.88,7.36,6.25,1.95,-0.16,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,10124
226,227,임기영,24 P,-0.16,37,3,34,3,0,0,6,2,0,2,45.2,32,35,37.2,218,61,12,0,8,17,1,1,36,4,1,1,6.31,6.9,7.33,7.37,5.47,1.71,-0.16,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10909
227,228,김대호,24 P,-0.17,1,1,0,0,0,0,0,1,0,0,4.0,5,6,6.0,22,7,2,0,1,2,0,0,1,1,0,0,11.25,13.5,13.5,13.55,8.1,2.25,-0.17,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15882
228,229,진해수,24 P,-0.17,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3,0,5,10,3,1,22,0,0,2,6.18,6.83,7.66,7.29,5.82,1.66,-0.17,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,10075
229,230,주권,24 P,-0.18,48,1,47,13,0,0,1,1,0,0,58.0,43,48,49.9,254,78,14,2,7,11,3,0,31,2,0,0,6.67,7.45,7.74,7.6,5.05,1.53,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,11323
230,231,강건,24 P,-0.18,4,1,3,2,0,0,0,1,0,0,4.0,5,5,5.85,24,8,0,1,1,4,1,0,3,0,0,0,11.25,11.25,13.16,13.69,9.17,3.0,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,15527
231,232,박범준,24 P,-0.19,5,0,5,3,0,0,0,1,0,0,5.1,8,8,7.3,28,7,2,0,1,4,1,0,8,0,0,2,13.5,13.5,12.32,11.88,5.59,2.06,-0.19,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16133
232,233,김태현,24 P,-0.2,11,0,11,2,0,0,0,0,0,0,10.0,8,10,11.2,50,14,4,0,3,7,0,0,3,2,0,1,7.2,9.0,10.08,10.43,9.19,2.1,-0.2,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12898
233,234,신헌민,24 P,-0.21,3,0,3,3,0,0,0,0,0,0,3.0,6,7,7.0,18,7,2,0,2,3,1,0,0,0,0,0,18.0,21.0,21.0,20.88,16.27,3.33,-0.21,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,15024
234,235,전용주,24 P,-0.22,4,0,4,0,0,0,0,0,0,0,1.2,2,3,3.15,11,2,0,0,0,3,1,0,4,0,0,0,10.8,16.2,17.01,17.02,5.64,3.0,-0.22,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14106
235,236,최동환,24 P,-0.23,26,0,26,7,0,0,0,1,0,2,22.0,17,18,19.7,105,35,6,0,4,9,0,0,14,1,0,0,6.95,7.36,8.06,8.52,6.04,2.0,-0.23,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,10535
236,237,김건국,24 P,-0.23,20,3,17,3,0,0,0,1,0,0,34.1,30,33,31.1,165,48,8,0,5,14,2,0,20,3,0,3,7.86,8.65,8.15,8.14,5.92,1.81,-0.23,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,12944
237,238,김윤수,24 P,-0.24,4,0,4,2,0,0,0,0,0,0,5.1,6,6,6.7,26,6,0,0,0,7,0,0,2,0,0,1,10.13,10.13,11.31,10.93,7.33,2.44,-0.24,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,13162
238,239,한차현,24 P,-0.24,10,5,5,2,0,0,0,4,0,0,19.0,21,22,19.7,103,29,4,1,4,18,0,0,17,1,0,2,9.95,10.42,9.33,9.4,7.4,2.47,-0.24,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14776
239,240,김동주,24 P,-0.25,14,9,5,3,1,0,1,3,0,0,50.0,38,46,42.45,244,67,12,3,6,21,4,0,35,3,1,7,6.84,8.28,7.64,7.9,5.43,1.76,-0.25,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14769
240,241,김주온,24 P,-0.26,2,0,2,2,0,0,0,0,0,0,4.2,8,8,9.55,25,8,1,0,2,3,0,0,4,0,0,0,15.43,15.43,18.42,18.21,9.15,2.36,-0.26,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,13057
241,242,윤대경,24 P,-0.26,7,0,7,1,0,0,0,0,0,0,7.2,9,9,10.2,40,10,3,0,1,6,1,1,7,0,0,0,10.57,10.57,11.97,11.77,6.3,2.09,-0.26,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,11110
242,243,목지훈,24 P,-0.26,3,3,0,0,0,0,0,1,0,0,9.0,12,12,11.15,52,15,6,0,1,10,2,0,3,1,0,1,12.0,12.0,11.15,11.79,8.82,2.78,-0.26,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15453
243,244,이믿음,24 P,-0.27,1,1,0,0,0,0,0,1,0,0,4.0,7,7,7.0,27,11,2,0,0,4,0,0,2,0,0,0,15.75,15.75,15.75,16.98,6.05,3.75,-0.27,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14847
244,245,현도훈,24 P,-0.3,8,0,8,5,0,0,0,1,0,0,10.0,10,11,12.05,50,15,3,1,2,6,0,0,8,2,0,1,9.0,9.9,10.85,9.99,6.44,2.1,-0.3,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,13271
245,246,이형범,24 P,-0.3,16,0,16,5,0,0,0,1,0,2,15.0,13,17,15.8,83,26,4,0,2,7,5,1,9,2,0,0,7.8,10.2,9.48,9.66,6.77,2.2,-0.3,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11159
246,247,이명종,24 P,-0.3,10,0,10,7,0,0,0,1,0,0,11.0,10,10,13.3,58,20,2,0,4,5,0,1,4,1,0,1,8.18,8.18,10.88,11.51,8.74,2.27,-0.3,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15073
247,248,이인복,24 P,-0.31,8,6,2,1,0,0,0,3,0,0,33.0,35,35,36.05,159,49,14,0,10,13,3,0,20,1,0,4,9.55,9.55,9.83,9.35,7.79,1.88,-0.31,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,11232
248,249,김현수,24 P,-0.31,5,0,5,4,0,0,0,0,0,0,5.0,10,10,10.15,28,7,4,0,0,5,1,0,4,0,0,2,18.0,18.0,18.27,18.33,5.92,2.4,-0.31,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14162
249,250,김호준,24 P,-0.31,16,1,15,6,0,0,1,2,0,0,13.1,13,14,15.0,68,22,6,1,1,4,5,0,6,0,0,0,8.78,9.45,10.13,9.94,6.06,1.95,-0.31,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13268
250,251,이승민,24 P,-0.33,25,8,17,6,0,0,1,4,0,0,47.1,45,48,45.25,237,71,8,1,14,26,3,0,23,5,0,1,8.56,9.13,8.6,8.27,8.4,2.05,-0.33,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,14616
251,252,김영준,24 P,-0.33,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,9.98,9.77,10.23,5.58,1.96,-0.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,13102
252,253,박명근,24 P,-0.34,33,0,33,3,0,0,2,2,1,8,25.1,18,20,20.65,120,29,4,0,6,12,3,0,13,3,0,0,6.39,7.11,7.34,7.79,7.57,1.62,-0.34,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,15486
253,254,서진용,24 P,-0.35,51,0,51,3,0,0,0,1,0,6,47.0,29,34,40.85,211,52,11,1,5,26,0,2,38,3,0,4,5.55,6.51,7.82,7.52,5.09,1.66,-0.35,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,10784
254,255,전준표,24 P,-0.35,18,5,13,4,0,0,2,4,0,0,27.2,21,28,27.0,144,35,4,0,4,20,5,0,18,4,0,4,6.83,9.11,8.78,8.93,7.09,1.99,-0.35,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16122
255,256,송재영,24 P,-0.36,19,0,19,4,0,0,0,1,1,3,8.1,10,10,10.4,40,9,3,0,2,5,1,0,9,0,1,1,10.8,10.8,11.23,10.38,6.59,1.68,-0.36,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,14794
256,257,정지헌,24 P,-0.41,17,0,17,4,0,0,0,0,0,1,12.1,16,18,15.65,69,19,2,0,2,11,3,0,11,2,0,3,11.68,13.14,11.42,11.87,7.42,2.43,-0.41,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,16017
257,258,전사민,24 P,-0.45,17,0,17,9,0,0,0,0,0,0,23.2,25,25,26.05,128,39,6,1,3,17,3,0,17,0,2,4,9.51,9.51,9.91,10.02,6.53,2.37,-0.45,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14156
258,259,전루건,24 P,-0.45,6,0,6,1,0,0,0,0,0,0,5.2,14,14,14.15,44,15,3,0,0,9,4,0,0,0,0,0,22.24,22.24,22.47,21.89,11.31,4.24,-0.45,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14171
259,260,백승현,24 P,-0.5,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,9.45,8.64,8.92,6.9,2.06,-0.5,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,13009
260,261,이태양,24 P,-0.5,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,13.89,9.43,2.04,-0.5,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,10609
261,262,오석주,24 P,-0.5,17,0,17,7,0,0,1,1,0,0,17.0,21,21,20.15,92,28,4,1,0,11,3,1,16,1,0,2,11.12,11.12,10.67,11.22,4.4,2.29,-0.5,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,12860
262,263,조영건,24 P,-0.55,25,3,22,3,0,0,2,1,0,1,39.1,35,39,35.55,197,51,10,1,7,24,1,0,31,3,0,3,8.01,8.92,8.13,8.83,6.01,1.91,-0.55,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14132
263,264,이교훈,24 P,-0.56,33,0,33,7,0,0,1,1,0,1,35.1,29,32,32.65,166,43,11,1,7,17,2,0,27,2,0,0,7.39,8.15,8.32,8.78,6.31,1.7,-0.56,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14173
264,265,이건욱,24 P,-0.58,10,2,8,1,0,0,1,2,0,0,19.0,24,25,24.3,106,34,4,0,5,15,2,0,17,2,0,3,11.37,11.84,11.51,11.46,7.87,2.58,-0.58,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,11242
265,266,김대유,24 P,-0.61,37,0,37,5,0,0,0,0,0,8,25.0,23,23,26.45,122,35,5,0,4,12,2,0,26,0,0,1,8.28,8.28,9.52,9.57,5.24,1.88,-0.61,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10706
266,267,이준호,24 P,-0.62,38,2,36,12,0,0,3,5,0,2,49.1,41,41,46.4,243,71,11,0,7,26,3,0,42,1,0,0,7.48,7.48,8.46,8.64,5.58,1.97,-0.62,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15455
