Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
50,페라자,24 LF,116.7,24.7,12.1,0.49,0.332,0.211,0.089,0.158,0.377,82.6,6.5,26.8,116.7
51,김동헌,24 C,115.9,0.0,14.3,,0.2,0.0,0.229,0.153,0.372,1.1,7.24,31.2,115.9
52,전준우,24 DH,115.7,17.4,10.1,0.58,0.327,0.192,0.076,0.163,0.382,78.8,6.71,28.0,115.7
53,강민호,24 C,115.6,11.5,7.7,0.67,0.305,0.193,0.062,0.161,0.38,72.3,6.42,26.3,115.6
54,신민재,24 2B,114.2,9.9,13.5,1.36,0.335,0.06,0.104,0.148,0.366,69.8,6.12,24.5,114.2
55,윤정빈,24 RF,113.7,25.0,11.7,0.47,0.358,0.167,0.092,0.159,0.378,30.0,6.69,27.9,113.7
56,윤동희,24 CF,113.1,18.6,10.9,0.59,0.347,0.16,0.083,0.159,0.378,97.5,6.57,27.2,113.1
57,김지찬,24 CF,112.7,7.5,11.2,1.5,0.341,0.068,0.089,0.157,0.376,83.5,6.79,28.5,112.7
58,강백호,24 DH,112.3,20.7,9.6,0.46,0.333,0.191,0.071,0.154,0.373,94.7,6.38,26.0,112.3
59,김재호,24 SS,112.2,14.9,12.3,0.83,0.359,0.063,0.093,0.144,0.362,22.3,6.01,23.8,112.2
60,박동원,24 C,111.0,22.5,11.0,0.49,0.317,0.189,0.077,0.144,0.362,71.3,5.68,21.8,111.0
61,박성빈,24 C,110.5,18.2,9.1,0.5,0.286,0.111,0.142,0.137,0.354,1.5,5.81,22.6,110.5
62,김주성,24 SS,110.3,0.0,33.3,,0.167,0.0,0.277,0.145,0.362,1.3,7.04,30.0,110.3
63,최원준,24 CF,110.1,13.0,9.8,0.76,0.323,0.128,0.079,0.147,0.365,74.8,5.99,23.7,110.1
64,김한별,24 SS,109.8,18.0,4.0,0.22,0.4,0.023,0.082,0.148,0.366,7.4,6.24,25.2,109.8
65,황성빈,24 CF,109.0,13.8,7.6,0.55,0.368,0.117,0.055,0.153,0.371,61.9,6.22,25.1,109.0
66,채은성,24 1B,108.9,16.7,9.8,0.59,0.29,0.192,0.08,0.147,0.365,73.4,5.9,23.2,108.9
