Rank,Name,Team,Sort,K%,BB%,BB/K,BABIP,IsoP,IsoD,R/ePA,wOBA,wRC,RC27,Own%,wRC+
217,안주형,24 2B,29.2,23.5,6.6,0.28,0.301,0.014,0.061,0.041,0.249,6.7,1.42,1.7,29.2
218,김태진,24 SS,27.5,13.4,3.5,0.26,0.258,0.064,0.027,0.035,0.243,7.1,1.24,1.3,27.5
219,한재환,24 DH,26.9,33.3,0.0,0.0,0.333,0.111,0.0,0.036,0.244,0.3,1.24,1.3,26.9
220,김인태,24 LF,22.0,26.9,7.7,0.29,0.188,0.13,0.057,0.031,0.239,0.8,1.03,0.9,22.0
221,윤준혁,24 3B,21.9,33.3,5.6,0.17,0.273,0.118,0.046,0.03,0.237,0.5,1.03,0.9,21.9
222,정보근,24 C,21.4,22.1,2.1,0.1,0.28,0.06,0.017,0.03,0.238,4.2,1.01,0.9,21.4
223,장두성,24 CF,19.8,24.3,8.1,0.33,0.217,0.0,0.114,0.028,0.235,1.0,0.86,0.6,19.8
224,김태훈,24 RF,18.5,14.3,0.0,0.0,0.235,0.05,0.038,0.027,0.234,0.6,0.89,0.7,18.5
225,이주찬,24 3B,17.0,36.0,4.0,0.11,0.214,0.166,0.033,0.025,0.232,0.6,0.8,0.5,17.0
226,강진성,24 DH,16.4,16.1,9.7,0.6,0.227,0.0,0.082,0.022,0.23,0.7,0.81,0.6,16.4
227,김호령,24 CF,16.0,37.3,11.9,0.32,0.212,0.084,0.103,0.021,0.229,1.4,0.72,0.4,16.0
228,이상혁,24 CF,13.9,33.3,13.3,0.4,0.25,0.0,0.113,0.019,0.226,0.3,0.58,0.3,13.9
229,장준원,24 SS,13.5,27.8,22.2,0.8,0.111,0.0,0.207,0.018,0.225,0.3,0.67,0.4,13.5
230,박주홍,24 LF,12.6,28.8,16.9,0.59,0.156,0.041,0.152,0.016,0.223,1.0,0.57,0.3,12.6
231,김재혁,24 1B,11.6,35.2,5.6,0.16,0.281,0.081,0.038,0.017,0.223,0.9,0.53,0.2,11.6
232,이재상,24 SS,9.9,37.1,2.2,0.06,0.3,0.048,0.037,0.013,0.219,1.1,0.44,0.2,9.9
233,안익훈,24 LF,7.8,23.2,7.1,0.31,0.243,0.02,0.057,0.01,0.216,0.6,0.34,0.1,7.8
234,최정용,24 2B,7.5,33.3,8.3,0.25,0.286,0.0,0.068,0.01,0.217,0.1,0.33,0.1,7.5
235,김대한,24 RF,5.6,29.2,9.0,0.31,0.18,0.054,0.097,0.007,0.213,0.6,0.25,0.1,5.6
236,함창건,24 LF,4.4,17.6,11.8,0.67,0.182,0.0,0.107,0.006,0.211,0.1,0.18,0.0,4.4
237,신윤후,24 RF,2.9,22.9,2.9,0.13,0.217,0.0,0.074,0.004,0.21,0.1,0.14,0.0,2.9
238,송찬의,24 DH,2.3,28.6,14.3,0.5,0.1,0.0,0.183,0.003,0.209,0.1,0.1,0.0,2.3
239,김웅빈,24 DH,1.5,39.5,10.5,0.27,0.235,0.0,0.118,0.002,0.207,0.1,0.06,0.0,1.5
240,김민수,24 3B,-3.4,18.2,4.5,0.25,0.188,0.0,0.077,-0.004,0.201,-0.1,-0.15,0.0,-3.4
241,안상현,24 2B,-7.2,18.7,5.3,0.29,0.214,0.015,0.045,-0.01,0.195,-0.7,-0.34,0.1,-7.2
242,박민석,24 2B,-7.4,50.0,0.0,0.0,0.429,0.0,0.0,-0.01,0.194,-0.1,-0.33,0.1,-7.4
243,임지열,24 RF,-8.3,28.1,12.3,0.44,0.121,0.061,0.109,-0.011,0.194,-0.6,-0.36,0.1,-8.3
244,이창용,24 1B,-9.2,19.0,0.0,0.0,0.235,0.048,0.0,-0.013,0.191,-0.3,-0.44,0.2,-9.2
245,김동진,24 2B,-20.5,23.8,7.1,0.3,0.115,0.081,0.067,-0.028,0.175,-1.2,-0.89,0.7,-20.5
246,김동엽,24 DH,-21.5,23.8,4.8,0.2,0.143,0.056,0.079,-0.031,0.172,-0.6,-1.03,0.9,-21.5
247,김태근,24 LF,-21.7,37.0,0.0,0.0,0.154,0.0,0.105,-0.028,0.175,-0.8,-0.9,0.7,-21.7
248,김창평,24 DH,-22.1,44.4,22.2,0.5,0.0,0.0,0.222,-0.029,0.175,-0.3,-0.99,0.8,-22.1
249,최승민,24 LF,-28.6,18.8,12.5,0.67,0.1,0.0,0.123,-0.037,0.165,-0.6,-0.8,0.6,-28.6
250,이호연,24 3B,-32.6,27.9,2.3,0.08,0.207,0.025,0.021,-0.044,0.157,-1.9,-1.36,1.6,-32.6
251,김건형,24 RF,-34.1,32.0,4.0,0.13,0.188,0.042,0.035,-0.046,0.156,-1.2,-1.48,1.9,-34.1
252,전의산,24 1B,-37.6,23.8,7.9,0.33,0.095,0.052,0.071,-0.051,0.15,-3.2,-1.52,2.0,-37.6
253,서동욱,24 C,-37.8,29.6,0.0,0.0,0.167,0.039,0.033,-0.052,0.149,-1.4,-1.59,2.1,-37.8
254,이승원,24 SS,-43.9,31.7,4.9,0.15,0.167,0.027,0.046,-0.058,0.143,-2.4,-1.72,2.5,-43.9
255,김시앙,24 C,-52.9,14.3,0.0,0.0,0.167,0.0,0.0,-0.07,0.129,-0.5,-2.21,4.0,-52.9
256,김호진,24 3B,-60.7,34.4,3.1,0.09,0.105,0.0,0.056,-0.088,0.11,-2.8,-2.64,5.7,-60.7
257,장규현,24 C,-63.4,14.3,14.3,1.0,0.0,0.0,0.143,-0.086,0.112,-0.6,-2.71,6.0,-63.4
258,강한울,24 3B,-81.5,24.0,0.0,0.0,0.125,0.0,-0.004,-0.114,0.082,-2.8,-3.19,8.1,-81.5
259,양우현,24 2B,-92.5,40.0,6.7,0.17,0.0,0.0,0.071,-0.138,0.056,-2.1,-3.72,10.7,-92.5
260,강태율,24 C,-132.2,40.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,-1.9,-5.12,18.5,-132.2
261,이명기,24 DH,-132.5,37.5,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,-1.5,-5.12,18.5,-132.5
262,김찬형,24 2B,-139.6,44.4,0.0,0.0,0.0,0.0,0.0,-0.19,0.0,-1.7,-5.12,18.5,-139.6
