statiz_2024_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,image_url,team
107,강현우,24 C,0.34,18,0.46,-0.12,36,34,26,4,8,1,0,1,12,8,0,0,8,0,0,10,0,2,0,0.308,0.471,0.462,0.933,0.216,161.1,0.34,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
108,천성호,24 2B,0.3,75,0.63,-0.33,255,254,234,41,69,8,3,1,86,17,7,0,18,1,0,43,5,1,1,0.295,0.346,0.368,0.714,0.116,84.6,0.3,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
109,전다민,24 LF,0.3,25,0.34,-0.04,34,34,27,10,9,2,0,0,11,1,1,1,7,0,0,8,0,0,0,0.333,0.471,0.407,0.878,0.202,156.9,0.3,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
110,전병우,24 3B,0.3,58,-0.07,0.36,128,128,111,17,25,5,0,5,45,14,0,1,14,1,0,42,3,0,2,0.225,0.313,0.405,0.718,0.11,77.9,0.3,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
111,하주석,24 SS,0.25,64,0.7,-0.45,151,149,137,16,40,9,1,1,54,11,1,2,10,2,0,33,1,2,0,0.292,0.349,0.394,0.743,0.127,94.7,0.25,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
112,안중열,24 C,0.23,10,0.29,-0.06,25,25,21,5,6,1,0,2,13,4,0,0,3,0,0,7,0,0,1,0.286,0.36,0.619,0.979,0.187,138.4,0.23,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
113,김건희,24 C,0.22,83,0.37,-0.16,283,283,261,27,67,15,0,9,109,38,0,0,18,0,0,82,7,0,4,0.257,0.3,0.418,0.718,0.103,79.2,0.22,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
114,김민혁,24 DH,0.19,5,0.19,0,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.2,0.5,0.8,1.3,0.303,237.7,0.19,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
115,이우성,24 1B,0.18,112,0.73,-0.55,449,449,399,56,115,16,1,9,160,54,7,1,44,3,0,89,17,0,3,0.288,0.361,0.401,0.762,0.134,99.8,0.18,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
116,최준우,24 2B,0.17,18,0.28,-0.11,34,34,25,2,6,2,0,0,8,5,0,0,9,0,0,8,0,0,0,0.24,0.441,0.32,0.761,0.171,126.9,0.17,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
117,정준영,24 RF,0.17,43,-0.17,0.34,74,71,62,9,14,2,0,0,16,3,0,0,8,1,0,16,1,3,0,0.226,0.324,0.258,0.582,0.079,57.8,0.17,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
118,최원영,24 LF,0.17,57,0.17,0,41,41,37,18,10,2,0,1,15,5,6,4,1,3,0,7,0,0,0,0.27,0.341,0.405,0.746,0.134,102.6,0.17,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
119,오선진,24 3B,0.16,26,0.04,0.12,29,24,20,0,4,1,0,0,5,0,0,0,2,2,0,8,0,5,0,0.2,0.333,0.25,0.583,0.095,67.4,0.16,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
120,홍종표,24 2B,0.16,100,0.48,-0.32,115,112,105,27,31,4,3,0,41,11,5,2,6,1,0,31,0,3,0,0.295,0.339,0.39,0.729,0.12,89,0.16,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
121,김동혁,24 CF,0.16,39,0.15,0.01,17,17,15,8,3,0,1,0,5,1,3,1,2,0,0,5,0,0,0,0.2,0.294,0.333,0.627,0.086,60.6,0.16,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
122,김병준,24 CF,0.16,35,0.15,0.01,16,16,14,9,5,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0.357,0.438,0.357,0.795,0.162,121.4,0.16,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
123,김준태,24 C,0.15,23,0.15,0,30,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0,0,0.24,0.367,0.32,0.687,0.122,91.3,0.15,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
124,이정훈,24 DH,0.14,65,0.19,-0.06,116,114,100,10,30,8,0,0,38,18,0,0,13,0,1,21,4,1,2,0.3,0.374,0.38,0.754,0.133,94.9,0.14,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
125,이주헌,24 C,0.13,3,0.22,-0.09,6,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,0,0,0.667,0.667,1,1.667,0.487,367.5,0.13,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
126,최상민,24 RF,0.12,43,-0.01,0.13,13,13,12,9,2,2,0,0,4,1,2,1,0,1,0,5,0,0,0,0.167,0.231,0.333,0.564,0.058,42.6,0.12,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
127,김주성,24 SS,0.12,12,0.07,0.05,9,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0.167,0.444,0.167,0.611,0.145,110.3,0.12,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
128,신윤후,24 RF,0.12,39,-0.29,0.41,35,34,31,5,5,0,0,0,5,1,0,0,1,2,0,8,1,1,0,0.161,0.235,0.161,0.396,0.004,2.9,0.12,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
129,이호준,24 2B,0.11,12,0.1,0.01,7,7,6,5,2,1,1,0,5,3,0,0,1,0,0,1,0,0,0,0.333,0.429,0.833,1.262,0.307,214,0.11,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
130,이병헌,24 C,0.1,95,0.23,-0.13,166,164,145,9,36,4,0,1,43,9,0,0,17,2,0,48,0,2,0,0.248,0.335,0.297,0.632,0.094,66.8,0.1,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
131,김민성,24 3B,0.1,35,0.06,0.03,84,84,70,6,14,5,0,2,25,8,0,1,10,3,0,18,1,0,1,0.2,0.321,0.357,0.678,0.109,79.9,0.1,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
132,양찬열,24 RF,0.09,11,0.02,0.07,12,12,8,2,1,0,0,0,1,1,0,0,4,0,0,1,0,0,0,0.125,0.417,0.125,0.542,0.122,96.2,0.09,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
133,박지환,24 2B,0.09,76,0.49,-0.4,249,246,228,33,63,9,2,4,88,21,8,3,12,3,0,61,3,3,3,0.276,0.317,0.386,0.703,0.106,75.2,0.09,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
134,류지혁,24 2B,0.09,100,0.42,-0.34,348,343,302,43,78,9,1,3,98,36,11,4,33,6,0,70,7,5,2,0.258,0.341,0.325,0.666,0.106,76,0.09,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
135,유강남,24 C,0.08,52,-0.08,0.16,155,153,136,11,26,3,0,5,44,20,0,0,9,7,0,25,4,2,1,0.191,0.275,0.324,0.599,0.071,50.3,0.08,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
136,오영수,24 1B,0.08,20,-0.04,0.12,34,34,30,4,6,0,0,3,15,5,0,0,2,1,0,6,0,0,1,0.2,0.265,0.5,0.765,0.108,80.8,0.08,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
137,손아섭,24 DH,0.08,84,-0.23,0.31,355,353,333,45,95,16,0,7,132,50,6,2,16,0,0,65,1,2,4,0.285,0.314,0.396,0.71,0.103,78.3,0.08,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
138,손성빈,24 C,0.08,86,0.19,-0.11,171,170,152,24,30,6,2,6,58,21,0,0,13,3,0,38,3,1,2,0.197,0.271,0.382,0.653,0.082,58.7,0.08,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
139,김민수,24 C,0.07,9,0.09,-0.02,8,8,8,1,2,0,0,1,5,3,0,0,0,0,0,1,0,0,0,0.25,0.25,0.625,0.875,0.136,99.8,0.07,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
140,홍성호,24 1B,0.07,15,0.03,0.03,15,15,14,0,4,2,0,0,6,1,1,0,1,0,0,7,0,0,0,0.286,0.333,0.429,0.762,0.129,100.8,0.07,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
141,김현종,24 CF,0.06,17,-0.03,0.09,16,16,15,8,3,1,0,0,4,2,0,0,0,1,0,4,0,0,0,0.2,0.25,0.267,0.517,0.042,31.9,0.06,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
142,도태훈,24 1B,0.06,100,-0.24,0.3,181,177,145,20,31,4,0,0,35,15,1,0,24,6,0,29,5,4,2,0.214,0.345,0.241,0.586,0.092,69.3,0.06,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
143,정은원,24 LF,0.06,27,-0.04,0.09,78,77,64,10,11,3,1,1,19,6,2,0,13,0,0,16,0,1,0,0.172,0.312,0.297,0.609,0.088,64.6,0.06,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
144,박수종,24 CF,0.05,80,-0.05,0.11,148,144,129,23,33,5,1,0,40,6,3,0,13,2,0,17,4,4,0,0.256,0.333,0.31,0.643,0.097,73.8,0.05,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
145,양도근,24 2B,0.04,16,0.01,0.03,29,28,23,5,4,0,1,0,6,2,0,0,5,0,0,8,0,1,0,0.174,0.321,0.261,0.582,0.085,58.1,0.04,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
146,서예일,24 3B,0.03,24,-0.09,0.12,20,20,18,2,4,0,0,0,4,1,0,0,2,0,0,5,0,0,0,0.222,0.3,0.222,0.522,0.05,38.9,0.03,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
147,김강민,24 CF,0.02,41,-0.17,0.19,87,87,76,5,17,0,0,1,20,7,0,0,8,3,0,21,1,0,0,0.224,0.322,0.263,0.585,0.08,58.8,0.02,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
148,유로결,24 RF,0.01,23,-0.23,0.24,39,39,36,6,8,1,0,0,9,4,0,1,3,0,0,11,4,0,0,0.222,0.282,0.25,0.532,0.047,34.4,0.01,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
149,박민,24 SS,-0.01,16,0,-0.01,30,30,29,5,8,4,0,0,12,2,0,1,1,0,0,7,0,0,0,0.276,0.3,0.414,0.714,0.105,77.5,-0.01,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
150,안익훈,24 LF,-0.02,37,-0.42,0.4,56,54,49,8,9,1,0,0,10,3,2,0,4,0,0,13,2,2,1,0.184,0.241,0.204,0.445,0.01,7.8,-0.02,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
151,고종욱,24 LF,-0.02,28,0.06,-0.09,36,36,32,3,8,2,0,1,13,4,0,0,4,0,0,6,2,0,0,0.25,0.333,0.406,0.739,0.122,92,-0.02,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
152,박성빈,24 C,-0.02,12,0.05,-0.07,11,11,9,1,2,1,0,0,3,2,0,0,1,1,0,2,0,0,0,0.222,0.364,0.333,0.697,0.137,110.5,-0.02,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
153,김성윤,24 CF,-0.03,32,-0.07,0.04,89,86,74,15,18,4,0,0,22,6,3,1,9,1,0,16,1,3,2,0.243,0.326,0.297,0.623,0.088,65,-0.03,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
154,최주환,24 1B,-0.03,130,-0.32,0.3,544,544,482,49,124,23,1,13,188,84,0,1,47,6,2,92,12,0,9,0.257,0.325,0.39,0.715,0.111,86.1,-0.03,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
155,여동건,24 2B,-0.03,9,-0.02,-0.01,11,11,10,2,4,0,0,0,4,0,3,0,1,0,0,2,0,0,0,0.4,0.455,0.4,0.855,0.181,140.6,-0.03,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
156,김재상,24 2B,-0.03,35,-0.08,0.05,91,90,84,13,20,4,0,2,30,12,4,0,5,0,0,23,0,1,1,0.238,0.278,0.357,0.635,0.073,51.1,-0.03,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
157,장준원,24 SS,-0.04,17,-0.13,0.09,18,18,14,1,1,0,0,0,1,0,0,0,4,0,0,5,0,0,0,0.071,0.278,0.071,0.349,0.018,13.5,-0.04,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
158,김태진,24 SS,-0.04,81,-0.77,0.73,202,197,189,26,42,6,3,0,54,10,0,0,7,0,1,27,1,5,1,0.222,0.249,0.286,0.535,0.035,27.5,-0.04,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
159,김태훈,24 RF,-0.05,12,-0.14,0.09,21,21,20,2,4,1,0,0,5,1,0,0,0,1,0,3,1,0,0,0.2,0.238,0.25,0.488,0.027,18.5,-0.05,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
160,황대인,24 1B,-0.05,3,-0.01,-0.04,7,7,7,1,2,1,0,0,3,3,0,0,0,0,0,1,0,0,0,0.286,0.286,0.429,0.715,0.1,74.4,-0.05,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
161,김창평,24 DH,-0.06,6,-0.1,0.04,9,9,7,1,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,0,0.222,0,0.222,-0.029,-22.1,-0.06,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
162,카디네스,24 RF,-0.06,7,0.11,-0.18,25,25,24,2,8,2,0,2,16,5,0,1,1,0,0,6,1,0,0,0.333,0.36,0.667,1.027,0.21,145.5,-0.06,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
163,김한별,24 SS,-0.07,40,0.24,-0.31,50,50,44,8,14,1,0,0,15,3,0,0,2,4,0,9,2,0,0,0.318,0.4,0.341,0.741,0.148,109.8,-0.07,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
164,오선우,24 RF,-0.07,3,-0.03,-0.04,7,7,7,0,2,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0.286,0.286,0.286,0.572,0.049,36.1,-0.07,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
165,김성진,24 1B,-0.07,14,0.01,-0.07,16,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0,0,0.267,0.313,0.467,0.78,0.123,94.7,-0.07,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
166,한승택,24 C,-0.07,20,0.11,-0.17,15,15,11,2,3,0,0,0,3,2,0,0,4,0,0,1,0,0,0,0.273,0.467,0.273,0.74,0.171,128.3,-0.07,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
167,신범수,24 DH,-0.07,11,-0.07,0,29,29,27,4,6,3,0,0,9,2,0,0,1,1,0,5,0,0,0,0.222,0.276,0.333,0.609,0.074,51.8,-0.07,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
168,안현민,24 LF,-0.07,16,0.01,-0.08,29,29,25,5,5,0,1,1,10,2,0,0,2,1,0,10,0,0,1,0.2,0.276,0.4,0.676,0.091,67.3,-0.07,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
169,김시앙,24 C,-0.07,6,-0.09,0.02,7,7,7,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.143,0.143,0.143,0.286,-0.07,-52.9,-0.07,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
170,김재현,24 C,-0.07,110,-0.18,0.1,326,316,288,27,70,11,0,0,81,26,1,1,14,10,0,63,8,10,4,0.243,0.297,0.281,0.578,0.067,52.1,-0.07,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
171,한재환,24 DH,-0.08,7,-0.05,-0.03,9,9,9,1,2,1,0,0,3,1,0,0,0,0,0,3,0,0,0,0.222,0.222,0.333,0.555,0.036,26.9,-0.08,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
172,조형우,24 C,-0.08,19,0.08,-0.16,38,38,33,4,8,0,0,0,8,4,0,0,1,4,0,6,0,0,0,0.242,0.342,0.242,0.584,0.094,66.6,-0.08,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
173,최승민,24 LF,-0.09,57,-0.29,0.2,16,15,13,20,1,0,0,0,1,1,11,7,2,0,0,3,0,1,0,0.077,0.2,0.077,0.277,-0.037,-28.6,-0.09,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
174,권동진,24 2B,-0.09,9,-0.03,-0.07,10,10,9,3,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0.222,0.3,0.222,0.522,0.05,37.9,-0.09,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
175,박영빈,24 LF,-0.09,19,0.13,-0.23,7,7,6,3,3,2,0,0,5,1,2,1,1,0,0,3,0,0,0,0.5,0.571,0.833,1.404,0.374,278.2,-0.09,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
176,김동헌,24 C,-0.1,2,0.04,-0.14,7,7,5,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.2,0.429,0.2,0.629,0.153,115.9,-0.1,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
177,장승현,24 C,-0.1,9,-0.07,-0.04,23,22,20,1,4,2,0,0,6,0,0,1,2,0,0,5,0,1,0,0.2,0.273,0.3,0.573,0.061,43.3,-0.1,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
178,김주형,24 SS,-0.12,22,-0.19,0.07,25,24,20,0,3,0,0,0,3,2,0,1,1,3,0,9,0,1,0,0.15,0.292,0.15,0.442,0.05,37.3,-0.12,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
179,장두성,24 CF,-0.12,71,-0.14,0.01,37,37,32,23,5,0,0,0,5,1,14,3,3,2,0,9,2,0,0,0.156,0.27,0.156,0.426,0.028,19.8,-0.12,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
180,송찬의,24 DH,-0.13,10,-0.12,-0.01,21,20,15,2,1,0,0,0,1,1,1,0,3,1,0,6,0,1,1,0.067,0.25,0.067,0.317,0.003,2.3,-0.13,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
181,주성원,24 RF,-0.13,27,-0.23,0.09,62,61,55,7,11,1,0,1,15,5,0,0,6,0,0,18,2,1,0,0.2,0.279,0.273,0.552,0.054,42.4,-0.13,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
182,장규현,24 C,-0.14,9,-0.1,-0.04,7,7,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.143,0,0.143,-0.086,-63.4,-0.14,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
183,이학주,24 SS,-0.15,43,0.25,-0.4,105,103,95,13,25,2,2,2,37,4,0,1,6,2,0,44,0,2,0,0.263,0.32,0.389,0.709,0.111,79.9,-0.15,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
184,김두현,24 SS,-0.15,3,0.1,-0.26,6,6,5,2,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0.4,0.5,0.4,0.9,0.229,164.9,-0.15,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
185,이진영,24 CF,-0.15,42,-0.3,0.15,103,103,93,20,19,6,0,1,28,13,0,1,8,2,0,27,3,0,0,0.204,0.282,0.301,0.583,0.067,50.9,-0.15,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
186,김수윤,24 1B,-0.16,9,-0.07,-0.08,10,10,9,0,2,0,0,0,2,0,0,0,1,0,0,4,0,0,0,0.222,0.3,0.222,0.522,0.05,37.3,-0.16,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
187,강진성,24 DH,-0.16,16,-0.26,0.1,31,30,27,4,5,0,0,0,5,2,0,0,3,0,0,5,0,1,0,0.185,0.267,0.185,0.452,0.022,16.4,-0.16,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
188,공민규,24 3B,-0.16,12,-0.08,-0.08,17,17,14,1,1,0,0,1,4,2,0,0,1,2,0,9,1,0,0,0.071,0.235,0.286,0.521,0.056,39.5,-0.16,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
189,임병욱,24 CF,-0.16,42,-0.13,-0.03,92,92,87,14,21,3,0,3,33,10,1,0,4,0,0,32,1,0,1,0.241,0.272,0.379,0.651,0.075,57.9,-0.16,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
190,양우현,24 2B,-0.17,7,-0.32,0.15,15,14,13,0,0,0,0,0,0,1,0,0,1,0,0,6,1,1,0,0,0.071,0,0.071,-0.138,-92.5,-0.17,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
191,홍현빈,24 RF,-0.18,28,0.04,-0.22,22,21,18,5,4,0,1,0,6,2,0,0,3,0,0,7,0,1,0,0.222,0.333,0.333,0.666,0.108,78,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
192,송민섭,24 RF,-0.18,36,0.08,-0.26,20,19,14,8,3,0,0,0,3,1,0,1,3,2,0,6,0,1,0,0.214,0.421,0.214,0.635,0.145,105.2,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
193,이영빈,24 1B,-0.18,31,-0.13,-0.05,71,69,63,11,14,2,0,2,22,12,0,1,4,0,0,20,0,2,2,0.222,0.261,0.349,0.61,0.059,45.5,-0.18,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
194,김병휘,24 SS,-0.19,28,0.03,-0.21,71,70,59,6,10,3,0,1,16,3,0,0,6,5,0,26,0,1,0,0.169,0.3,0.271,0.571,0.081,61.7,-0.19,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
195,함창건,24 LF,-0.19,15,-0.2,0.01,17,16,14,3,2,0,0,0,2,0,0,0,2,0,0,3,1,1,0,0.143,0.25,0.143,0.393,0.006,4.4,-0.19,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
196,김규성,24 3B,-0.19,27,0.05,-0.25,15,14,12,5,3,1,0,0,4,2,1,0,2,0,0,4,0,1,0,0.25,0.357,0.333,0.69,0.119,88.3,-0.19,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
197,변상권,24 LF,-0.2,77,-0.58,0.38,232,232,219,16,55,3,1,5,75,21,0,0,11,1,0,51,4,0,1,0.251,0.289,0.342,0.631,0.075,57.6,-0.2,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
198,최정용,24 2B,-0.2,6,-0.1,-0.1,12,12,11,0,2,0,0,0,2,1,0,0,1,0,0,4,1,0,0,0.182,0.25,0.182,0.432,0.01,7.5,-0.2,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
199,최경모,24 2B,-0.21,50,-0.17,-0.04,50,43,35,12,6,0,0,0,6,0,6,3,8,0,0,7,2,7,0,0.171,0.326,0.171,0.497,0.062,45.2,-0.21,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
200,이상혁,24 CF,-0.21,43,-0.09,-0.12,15,15,13,13,2,0,0,0,2,0,5,2,2,0,0,5,0,0,0,0.154,0.267,0.154,0.421,0.019,13.9,-0.21,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
201,이원석,24 CF,-0.21,87,-0.24,0.03,154,152,133,26,31,4,1,0,37,13,8,2,16,2,0,32,3,2,1,0.233,0.322,0.278,0.6,0.082,61.5,-0.21,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
202,이명기,24 DH,-0.21,4,-0.21,0,8,7,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,-0.19,-132.5,-0.21,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
203,안치영,24 CF,-0.22,31,-0.26,0.05,48,46,44,12,11,0,0,0,11,3,0,1,2,0,0,12,0,2,0,0.25,0.283,0.25,0.533,0.042,30.8,-0.22,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
204,원성준,24 DH,-0.22,51,-0.16,-0.07,125,124,112,12,28,5,0,2,39,11,2,0,10,0,0,36,2,1,2,0.25,0.306,0.348,0.654,0.087,67.3,-0.22,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
205,김호령,24 CF,-0.23,64,-0.44,0.21,67,67,59,12,8,2,0,1,13,4,3,2,8,0,0,25,1,0,0,0.136,0.239,0.22,0.459,0.021,16,-0.23,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
206,윤준혁,24 3B,-0.23,13,-0.15,-0.08,18,18,17,3,3,2,0,0,5,0,0,0,1,0,0,6,0,0,0,0.176,0.222,0.294,0.516,0.03,21.9,-0.23,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
207,한유섬,24 RF,-0.23,132,0.43,-0.67,523,519,464,64,109,29,0,24,210,87,0,1,46,9,3,142,2,1,3,0.235,0.314,0.453,0.767,0.125,89.3,-0.23,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
208,임종찬,24 CF,-0.24,24,-0.2,-0.03,64,64,57,10,9,3,2,0,16,7,0,1,6,1,0,19,2,0,0,0.158,0.25,0.281,0.531,0.048,35.5,-0.24,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
209,이창용,24 1B,-0.24,9,-0.23,-0.01,21,21,21,1,4,1,0,0,5,2,0,0,0,0,0,4,0,0,0,0.19,0.19,0.238,0.428,-0.013,-9.2,-0.24,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
210,김재성,24 C,-0.24,10,-0.08,-0.16,23,23,20,3,4,1,0,0,5,1,0,0,3,0,0,5,1,0,0,0.2,0.304,0.25,0.554,0.066,47.7,-0.24,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
211,정현승,24 RF,-0.25,23,-0.17,-0.08,31,31,29,1,7,0,0,1,10,4,1,0,2,0,0,6,0,0,0,0.241,0.29,0.345,0.635,0.076,53.9,-0.25,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
212,김찬형,24 2B,-0.26,5,-0.23,-0.03,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.19,-139.6,-0.26,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers
213,강태율,24 C,-0.26,10,-0.24,-0.02,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,-0.19,-132.2,-0.26,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
