statiz_2024_batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR▼,image_url,team
24,허경민,24 3B,3.2,115,2.99,0.21,477,477,417,69,129,28,0,7,178,61,5,1,36,18,0,25,8,0,6,0.309,0.384,0.427,0.811,0.16,122,3.2,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
25,도슨,24 LF,3.17,95,3.07,0.1,429,429,382,69,126,31,2,11,194,57,2,2,39,6,0,54,10,0,2,0.33,0.399,0.508,0.907,0.187,145.9,3.17,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
26,윤동희,24 CF,3.13,141,2.9,0.23,613,610,532,97,156,35,4,14,241,85,7,8,67,7,1,114,10,2,5,0.293,0.376,0.453,0.829,0.159,113.1,3.13,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
27,김재환,24 DH,3.09,136,3.37,-0.28,552,549,474,78,134,28,0,29,249,92,1,1,63,6,3,168,8,0,9,0.283,0.368,0.525,0.893,0.173,132,3.09,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
28,고승민,24 2B,3.08,120,2.96,0.12,532,531,481,79,148,27,6,14,229,87,5,4,41,1,0,78,10,1,8,0.308,0.358,0.476,0.834,0.152,107.9,3.08,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
29,이재현,24 SS,3.03,109,2.43,0.6,458,457,389,71,101,18,1,14,163,66,2,1,58,8,1,83,8,0,3,0.26,0.365,0.419,0.784,0.146,104.8,3.03,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
30,오지환,24 SS,3,108,2.67,0.33,428,426,370,67,94,24,2,10,152,59,17,4,51,4,0,106,8,2,1,0.254,0.35,0.411,0.761,0.136,104.5,3,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
31,정수빈,24 CF,2.97,136,2.52,0.45,608,598,510,95,145,21,3,4,184,47,52,13,71,9,1,72,8,10,8,0.284,0.376,0.361,0.737,0.131,100.2,2.97,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
32,박찬호,24 SS,2.78,134,2.58,0.2,577,570,515,86,158,24,1,5,199,61,20,13,48,1,1,44,9,7,6,0.307,0.363,0.386,0.749,0.129,95.7,2.78,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
33,박건우,24 RF,2.64,89,2.96,-0.32,362,360,323,58,111,23,1,13,175,53,4,0,33,4,3,54,7,0,2,0.344,0.409,0.542,0.951,0.198,150.1,2.64,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
34,신민재,24 2B,2.64,128,3.11,-0.47,474,459,387,78,115,11,6,0,138,40,32,11,64,5,1,47,7,15,3,0.297,0.401,0.357,0.758,0.148,114.2,2.64,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
35,노시환,24 3B,2.41,136,2.5,-0.08,601,597,526,88,143,20,2,24,239,89,6,0,60,11,9,129,10,0,4,0.272,0.356,0.454,0.81,0.145,106.5,2.41,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
36,문성주,24 LF,2.41,96,1.85,0.56,361,360,305,47,96,16,2,0,116,48,13,7,49,3,0,38,4,1,3,0.315,0.411,0.38,0.791,0.158,120.8,2.41,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
37,김선빈,24 2B,2.38,116,2.98,-0.6,466,458,423,48,139,23,0,9,189,57,5,1,30,5,0,39,13,7,0,0.329,0.38,0.447,0.827,0.156,117.4,2.38,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
38,황성빈,24 CF,2.33,125,2.46,-0.13,406,400,366,94,117,15,8,4,160,26,51,10,31,2,0,56,3,6,1,0.32,0.375,0.437,0.812,0.153,109,2.33,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
39,김영웅,24 3B,2.29,126,1.59,0.71,509,508,456,65,115,16,3,28,221,79,9,2,45,3,0,155,2,1,4,0.252,0.321,0.485,0.806,0.137,97.8,2.29,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles
40,김휘집,24 SS,2.24,140,1.66,0.57,562,557,488,78,126,24,1,16,200,73,4,3,52,10,1,119,16,4,8,0.258,0.337,0.41,0.747,0.125,95,2.24,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz
41,나승엽,24 1B,2.22,121,2.83,-0.61,489,486,407,59,127,35,4,7,191,66,1,0,69,4,1,83,4,2,7,0.312,0.411,0.469,0.88,0.182,129.7,2.22,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
42,손호영,24 3B,2.21,102,2.89,-0.68,430,427,398,70,126,26,4,18,214,78,7,4,17,9,2,65,6,1,5,0.317,0.354,0.538,0.892,0.169,120.6,2.21,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins
43,김민혁,24 LF,2.2,115,2.08,0.12,393,389,351,47,124,14,3,1,147,34,4,2,35,1,1,45,9,3,3,0.353,0.41,0.419,0.829,0.164,118,2.2,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
44,최원준,24 CF,2.17,136,2.43,-0.26,508,501,438,75,128,23,3,9,184,56,21,9,50,8,0,66,6,7,5,0.292,0.371,0.42,0.791,0.147,110.1,2.17,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers
45,양석환,24 1B,2.17,142,1.79,0.37,593,592,533,83,131,25,1,34,260,107,5,3,49,7,1,128,15,1,3,0.246,0.316,0.488,0.804,0.136,104.5,2.17,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos
46,페라자,24 LF,2.13,122,2.27,-0.14,522,518,455,75,125,24,0,24,221,70,7,5,63,2,5,129,6,0,2,0.275,0.364,0.486,0.85,0.158,116.7,2.13,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions
47,강백호,24 DH,2.12,144,2.46,-0.34,614,612,550,92,159,27,0,26,264,96,6,2,59,3,4,127,6,0,2,0.289,0.36,0.48,0.84,0.154,112.3,2.12,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears
48,박해민,24 CF,2.03,144,1.44,0.59,553,548,482,72,127,16,6,6,173,56,43,13,46,11,0,101,3,5,9,0.263,0.336,0.359,0.695,0.112,86.1,2.03,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants
49,이주형,24 RF,1.96,115,1.72,0.25,537,536,473,82,126,19,3,13,190,60,6,0,49,14,1,119,4,0,1,0.266,0.352,0.402,0.754,0.133,103.6,1.96,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes
