,ID,Name,Team,TBF,AVG,OBP,SLG,K%,BB%,Pit_side
131,13070,박신지,NC Dinos,41,0.258,0.425,0.323,7.3,19.5,Right
132,11425,박진형,LG Twins,24,0.286,0.348,0.333,16.7,4.2,Right
133,11300,박정수,NC Dinos,137,0.309,0.38,0.407,16.1,8.8,Right
134,12637,김승현,KIA Tigers,85,0.295,0.353,0.5,12.9,8.2,Right
135,14733,최종인,NC Dinos,42,0.222,0.31,0.389,19.0,11.9,Right
136,10131,박종훈,SSG Landers,164,0.276,0.402,0.485,20.7,12.8,Right
137,14142,임준형,Lotte Giants,62,0.302,0.377,0.491,21.0,6.5,Left
138,11291,구승민,LG Twins,279,0.293,0.395,0.414,22.2,12.5,Right
139,14624,최준용,LG Twins,105,0.322,0.417,0.437,11.4,13.3,Right
140,12854,양지율,Kiwoom Heroes,83,0.235,0.373,0.338,8.4,15.7,Right
141,16056,최우석,KT Wiz,37,0.226,0.351,0.484,21.6,16.2,Right
142,11236,박민호,SSG Landers,98,0.287,0.347,0.46,10.2,7.1,Right
143,14111,이선우,Doosan Bears,45,0.263,0.356,0.263,8.9,8.9,Right
144,15864,육선엽,Hanwha Eagles,87,0.284,0.437,0.448,12.6,19.5,Right
145,14770,최승용,NC Dinos,124,0.319,0.358,0.552,16.9,5.6,Left
146,12914,유승철,KIA Tigers,23,0.188,0.435,0.25,17.4,30.4,Right
147,16015,진우영,Lotte Giants,35,0.267,0.343,0.467,17.1,11.4,Right
148,14711,김승일,Samsung Lions,13,0.333,0.385,0.417,15.4,0.0,Right
149,14687,박시후,SSG Landers,70,0.295,0.386,0.361,15.7,10.0,Left
150,14763,이용준,KT Wiz,157,0.302,0.368,0.482,16.6,8.9,Right
151,14619,남지민,Samsung Lions,17,0.143,0.294,0.214,17.6,11.8,Right
152,12532,김대현,Lotte Giants,155,0.248,0.342,0.444,19.4,11.6,Right
153,11170,윤호솔,Lotte Giants,24,0.25,0.5,0.25,20.8,33.3,Right
154,14143,이지강,Lotte Giants,250,0.28,0.357,0.39,15.6,10.4,Right
155,12989,박승주,Kiwoom Heroes,74,0.262,0.361,0.393,17.6,12.2,Right
156,16044,박성빈,SSG Landers,9,0.125,0.222,0.125,22.2,0.0,Right
157,11161,원종현,Kiwoom Heroes,18,0.267,0.389,0.333,22.2,16.7,Right
158,10367,오승환,Hanwha Eagles,262,0.321,0.372,0.526,16.0,6.9,Right
159,14136,정우영,Lotte Giants,108,0.344,0.449,0.411,15.7,10.2,Right
160,15475,박윤성,Kiwoom Heroes,81,0.2,0.288,0.486,17.3,11.1,Right
161,14781,김진수,Lotte Giants,58,0.315,0.362,0.519,10.3,6.9,Right
162,14614,홍원표,Hanwha Eagles,28,0.2,0.357,0.4,17.9,21.4,Right
163,13103,성동현,Lotte Giants,8,0.0,0.375,0.0,12.5,37.5,Right
164,10851,최성훈,Hanwha Eagles,61,0.292,0.393,0.375,16.4,14.8,Left
165,11411,김범수,Samsung Lions,157,0.254,0.372,0.523,24.2,12.7,Left
