,ID,Name,Team,PA,AVG,OBP,SLG,K%,BB%,Bat_side
102,13676,권광민,Samsung Lions,51,0.271,0.314,0.583,33.3,5.9,Left
103,13261,천재환,KT Wiz,236,0.284,0.335,0.405,22.0,5.5,Right
104,10470,박병호,Hanwha Eagles,406,0.231,0.333,0.449,29.8,11.6,Right
105,12516,이형종,Kiwoom Heroes,126,0.216,0.36,0.363,21.4,17.5,Right
106,14603,강현우,Doosan Bears,36,0.308,0.471,0.462,27.8,22.2,Right
107,14606,천성호,Doosan Bears,255,0.295,0.346,0.368,16.9,7.1,Left
108,16072,전다민,NC Dinos,34,0.333,0.471,0.407,23.5,20.6,Left
109,11422,전병우,Hanwha Eagles,128,0.225,0.313,0.405,32.8,10.9,Right
110,10913,하주석,Samsung Lions,151,0.292,0.349,0.394,21.9,6.6,Left
111,11329,안중열,KT Wiz,25,0.286,0.36,0.619,28.0,12.0,Right
112,15472,김건희,Kiwoom Heroes,283,0.257,0.3,0.418,29.0,6.4,Right
113,12970,김민혁,NC Dinos,8,0.2,0.5,0.8,37.5,37.5,Right
114,11099,이우성,KIA Tigers,449,0.288,0.361,0.401,19.8,9.8,Right
115,13128,최준우,SSG Landers,34,0.24,0.441,0.32,23.5,26.5,Left
116,15519,정준영,Doosan Bears,74,0.226,0.324,0.258,21.6,10.8,Left
117,15084,최원영,Lotte Giants,41,0.27,0.341,0.405,17.1,2.4,Right
118,10557,오선진,LG Twins,29,0.2,0.333,0.25,27.6,6.9,Right
119,14612,홍종표,KIA Tigers,115,0.295,0.339,0.39,27.0,5.2,Left
120,15645,김동혁,LG Twins,17,0.2,0.294,0.333,29.4,11.8,Left
121,15097,김병준,Doosan Bears,16,0.357,0.438,0.357,12.5,12.5,Left
122,10835,김준태,Doosan Bears,30,0.24,0.367,0.32,20.0,16.7,Left
123,12916,이정훈,LG Twins,116,0.3,0.374,0.38,18.1,11.2,Left
124,15081,이주헌,Lotte Giants,6,0.667,0.667,1.0,33.3,0.0,Right
125,13195,최상민,SSG Landers,13,0.167,0.231,0.333,38.5,0.0,Left
126,12545,김주성,Lotte Giants,9,0.167,0.444,0.167,0.0,33.3,Right
127,14169,신윤후,LG Twins,35,0.161,0.235,0.161,22.9,2.9,Right
128,16091,이호준,LG Twins,7,0.333,0.429,0.833,14.3,14.3,Left
129,14117,이병헌,Hanwha Eagles,166,0.248,0.335,0.297,28.9,10.2,Right
130,10238,김민성,LG Twins,84,0.2,0.321,0.357,21.4,11.9,Right
131,14738,양찬열,NC Dinos,12,0.125,0.417,0.125,8.3,33.3,Left
132,16038,박지환,SSG Landers,249,0.276,0.317,0.386,24.5,4.8,Right
133,10894,류지혁,Hanwha Eagles,348,0.258,0.341,0.325,20.1,9.5,Left
134,10753,유강남,LG Twins,155,0.191,0.275,0.324,16.1,5.8,Right
135,13082,오영수,KT Wiz,34,0.2,0.265,0.5,17.6,5.9,Left
136,10261,손아섭,KT Wiz,355,0.285,0.314,0.396,18.3,4.5,Left
137,14796,손성빈,LG Twins,171,0.197,0.271,0.382,22.2,7.6,Right
138,11266,김민수,Hanwha Eagles,8,0.25,0.25,0.625,12.5,0.0,Right
139,12606,홍성호,NC Dinos,15,0.286,0.333,0.429,46.7,6.7,Left
140,16013,김현종,Lotte Giants,16,0.2,0.25,0.267,25.0,0.0,Right
141,12560,도태훈,KT Wiz,181,0.214,0.345,0.241,16.0,13.3,Left
142,13137,정은원,Samsung Lions,78,0.172,0.312,0.297,20.5,16.7,Left
143,15132,박수종,Kiwoom Heroes,148,0.256,0.333,0.31,11.5,8.8,Right
144,15875,양도근,Hanwha Eagles,29,0.174,0.321,0.261,27.6,17.2,Right
145,12523,서예일,NC Dinos,20,0.222,0.3,0.222,25.0,10.0,Both
146,10108,김강민,Samsung Lions,87,0.224,0.322,0.263,24.1,9.2,Right
147,14126,유로결,Samsung Lions,39,0.222,0.282,0.25,28.2,7.7,Right
148,14611,박민,KIA Tigers,30,0.276,0.3,0.414,23.3,3.3,Right
149,11347,안익훈,Lotte Giants,56,0.184,0.241,0.204,23.2,7.1,Left
150,10659,고종욱,KIA Tigers,36,0.25,0.333,0.406,16.7,11.1,Left
151,15479,박성빈,Kiwoom Heroes,11,0.222,0.364,0.333,18.2,9.1,Right
152,12936,김성윤,Hanwha Eagles,89,0.243,0.326,0.297,18.0,10.1,Left
153,10182,최주환,Kiwoom Heroes,544,0.257,0.325,0.39,16.9,8.6,Left
154,16068,여동건,NC Dinos,11,0.4,0.455,0.4,18.2,9.1,Right
155,15499,김재상,Hanwha Eagles,91,0.238,0.278,0.357,25.3,5.5,Left
156,11214,장준원,Doosan Bears,18,0.071,0.278,0.071,27.8,22.2,Right
157,11244,김태진,Kiwoom Heroes,202,0.222,0.249,0.286,13.4,3.5,Left
158,11336,김태훈,Hanwha Eagles,21,0.2,0.238,0.25,14.3,0.0,Left
159,11306,황대인,KIA Tigers,7,0.286,0.286,0.429,14.3,0.0,Right
160,14146,김창평,SSG Landers,9,0.0,0.222,0.0,44.4,22.2,Left
161,16156,카디네스,Hanwha Eagles,25,0.333,0.36,0.667,24.0,4.0,Right
162,14716,김한별,KT Wiz,50,0.318,0.4,0.341,18.0,4.0,Right
163,14181,오선우,KIA Tigers,7,0.286,0.286,0.286,42.9,0.0,Left
164,14141,김성진,Lotte Giants,16,0.267,0.313,0.467,25.0,6.3,Right
165,11119,한승택,KIA Tigers,15,0.273,0.467,0.273,6.7,26.7,Right
166,12541,신범수,SSG Landers,29,0.222,0.276,0.333,17.2,3.4,Left
167,15092,안현민,Doosan Bears,29,0.2,0.276,0.4,34.5,6.9,Right
168,14851,김시앙,Kiwoom Heroes,7,0.143,0.143,0.143,14.3,0.0,Right
169,10870,김재현,Kiwoom Heroes,326,0.243,0.297,0.281,19.3,4.3,Right
170,14659,한재환,KT Wiz,9,0.222,0.222,0.333,33.3,0.0,Right
171,14806,조형우,SSG Landers,38,0.242,0.342,0.242,15.8,2.6,Right
172,14187,최승민,Lotte Giants,16,0.077,0.2,0.077,18.8,12.5,Left
173,14777,권동진,Doosan Bears,10,0.222,0.3,0.222,20.0,10.0,Left
174,14661,박영빈,KT Wiz,7,0.5,0.571,0.833,42.9,14.3,Left
175,15473,김동헌,Kiwoom Heroes,7,0.2,0.429,0.2,0.0,14.3,Right
176,11097,장승현,NC Dinos,23,0.2,0.273,0.3,21.7,8.7,Right
177,14214,김주형,Kiwoom Heroes,25,0.15,0.292,0.15,36.0,4.0,Right
178,13155,장두성,LG Twins,37,0.156,0.27,0.156,24.3,8.1,Left
179,13109,송찬의,Lotte Giants,21,0.067,0.25,0.067,28.6,14.3,Right
180,14133,주성원,Kiwoom Heroes,62,0.2,0.279,0.273,29.0,9.7,Right
181,14811,장규현,Samsung Lions,7,0.0,0.143,0.0,14.3,14.3,Left
182,14114,이학주,LG Twins,105,0.263,0.32,0.389,41.9,5.7,Left
183,16086,김두현,KIA Tigers,6,0.4,0.5,0.4,0.0,0.0,Right
184,12539,이진영,Samsung Lions,103,0.204,0.282,0.301,26.2,7.8,Right
185,12903,김수윤,KT Wiz,10,0.222,0.3,0.222,40.0,10.0,Right
186,11148,강진성,SSG Landers,31,0.185,0.267,0.185,16.1,9.7,Right
187,13164,공민규,Hanwha Eagles,17,0.071,0.235,0.286,52.9,5.9,Left
188,11226,임병욱,Kiwoom Heroes,92,0.241,0.272,0.379,34.8,4.3,Left
189,14116,양우현,Hanwha Eagles,15,0.0,0.071,0.0,40.0,6.7,Left
190,12941,홍현빈,Doosan Bears,22,0.222,0.333,0.333,31.8,13.6,Left
191,11342,송민섭,Doosan Bears,20,0.214,0.421,0.214,30.0,15.0,Right
192,14783,이영빈,Lotte Giants,71,0.222,0.261,0.349,28.2,5.6,Left
193,14577,김병휘,Kiwoom Heroes,71,0.169,0.3,0.271,36.6,8.5,Right
194,14680,함창건,Lotte Giants,17,0.143,0.25,0.143,17.6,11.8,Left
195,12540,김규성,KIA Tigers,15,0.25,0.357,0.333,26.7,13.3,Left
196,13223,변상권,Kiwoom Heroes,232,0.251,0.289,0.342,22.0,4.7,Left
197,11407,최정용,KIA Tigers,12,0.182,0.25,0.182,33.3,8.3,Left
198,14151,최경모,SSG Landers,50,0.171,0.326,0.171,14.0,16.0,Right
199,15139,이상혁,Samsung Lions,15,0.154,0.267,0.154,33.3,13.3,Left
200,13138,이원석,Samsung Lions,154,0.233,0.322,0.278,20.8,10.4,Right
201,10119,이명기,Samsung Lions,8,0.0,0.0,0.0,37.5,0.0,Left
202,13006,안치영,Doosan Bears,48,0.25,0.283,0.25,25.0,4.2,Left
203,16136,원성준,Kiwoom Heroes,125,0.25,0.306,0.348,28.8,8.0,Left
204,11298,김호령,KIA Tigers,67,0.136,0.239,0.22,37.3,11.9,Right
205,14605,윤준혁,Doosan Bears,18,0.176,0.222,0.294,33.3,5.6,Right
206,10815,한유섬,SSG Landers,523,0.235,0.314,0.453,27.2,8.8,Left
207,14706,임종찬,Samsung Lions,64,0.158,0.25,0.281,29.7,9.4,Left
208,14866,이창용,Hanwha Eagles,21,0.19,0.19,0.238,19.0,0.0,Right
209,11344,김재성,Hanwha Eagles,23,0.2,0.304,0.25,21.7,13.0,Left
210,16043,정현승,SSG Landers,31,0.241,0.29,0.345,19.4,6.5,Left
211,12622,김찬형,SSG Landers,9,0.0,0.0,0.0,44.4,0.0,Right
212,11388,강태율,LG Twins,10,0.0,0.0,0.0,40.0,0.0,Right
213,10707,김민식,SSG Landers,126,0.208,0.311,0.283,26.2,12.7,Left
214,11165,노진혁,LG Twins,157,0.219,0.297,0.307,24.8,9.6,Left
215,14580,박주홍,Kiwoom Heroes,59,0.102,0.254,0.143,28.8,16.9,Left
216,15451,박한결,KT Wiz,71,0.185,0.254,0.523,40.8,8.5,Right
217,12548,김동엽,Hanwha Eagles,21,0.111,0.19,0.167,23.8,4.8,Right
218,10082,이재원,Samsung Lions,152,0.239,0.287,0.291,13.8,4.6,Right
219,10407,황재균,Doosan Bears,536,0.26,0.309,0.383,17.7,6.3,Right
220,14863,김동진,Hanwha Eagles,42,0.108,0.175,0.189,23.8,7.1,Left
221,10810,최항,LG Twins,143,0.25,0.308,0.288,22.4,7.0,Left
222,14110,박민석,Doosan Bears,14,0.214,0.214,0.214,50.0,0.0,Right
223,13073,전민재,NC Dinos,276,0.246,0.301,0.298,19.2,6.2,Right
224,14784,장재영,Kiwoom Heroes,139,0.168,0.288,0.294,46.0,12.2,Right
225,12931,김민수,Lotte Giants,22,0.15,0.227,0.15,18.2,4.5,Right
226,15484,김범석,Lotte Giants,180,0.241,0.306,0.377,27.2,7.8,Right
227,11198,박계범,NC Dinos,20,0.2,0.4,0.267,35.0,25.0,Right
228,14779,김건형,Doosan Bears,25,0.125,0.16,0.167,32.0,4.0,Left
229,11098,김인태,NC Dinos,26,0.174,0.231,0.304,26.9,7.7,Left
230,15868,김호진,Hanwha Eagles,32,0.069,0.125,0.069,34.4,3.1,Right
231,12503,김웅빈,Kiwoom Heroes,38,0.125,0.243,0.125,39.5,10.5,Left
232,15253,김민석,LG Twins,83,0.211,0.268,0.276,24.1,2.4,Left
233,16128,고영우,Kiwoom Heroes,290,0.256,0.329,0.319,24.5,9.7,Right
234,14819,이주찬,LG Twins,25,0.167,0.2,0.333,36.0,4.0,Right
235,15624,서동욱,LG Twins,27,0.115,0.148,0.154,29.6,0.0,Right
236,14597,박시원,KT Wiz,158,0.234,0.301,0.326,29.1,8.9,Left
237,11255,강한울,Hanwha Eagles,25,0.095,0.091,0.095,24.0,0.0,Left
238,11153,김성욱,KT Wiz,412,0.204,0.291,0.38,19.2,7.5,Right
239,15036,김재혁,Hanwha Eagles,54,0.184,0.222,0.265,35.2,5.6,Right
240,10636,김성현,SSG Landers,167,0.227,0.321,0.284,16.8,9.6,Right
241,13093,예진원,Kiwoom Heroes,21,0.211,0.286,0.263,38.1,9.5,Left
242,13250,한석현,KT Wiz,76,0.247,0.276,0.329,28.9,2.6,Left
243,12943,조용호,Doosan Bears,165,0.248,0.309,0.282,15.2,7.9,Left
244,10180,이원석,Kiwoom Heroes,109,0.22,0.33,0.264,16.5,12.8,Right
245,13145,한동희,LG Twins,36,0.257,0.278,0.314,25.0,2.8,Right
246,14867,김현준,Hanwha Eagles,205,0.224,0.279,0.29,23.9,5.4,Left
247,13151,이호연,Doosan Bears,43,0.146,0.167,0.171,27.9,2.3,Left
248,13154,정보근,LG Twins,140,0.226,0.243,0.286,22.1,2.1,Right
249,10684,허도환,Lotte Giants,105,0.138,0.3,0.163,24.8,8.6,Right
250,10400,오재일,Doosan Bears,343,0.243,0.321,0.422,25.7,10.5,Left
251,14170,김대한,NC Dinos,89,0.133,0.23,0.187,29.2,9.0,Right
252,14175,김태근,NC Dinos,27,0.087,0.192,0.087,37.0,0.0,Right
253,15476,이승원,Kiwoom Heroes,41,0.108,0.154,0.135,31.7,4.9,Right
254,14147,하재훈,SSG Landers,317,0.248,0.292,0.417,28.4,5.7,Right
255,14807,고명준,SSG Landers,366,0.25,0.303,0.385,24.6,6.8,Right
256,12613,안상현,SSG Landers,75,0.171,0.216,0.186,18.7,5.3,Right
257,11225,임지열,Kiwoom Heroes,57,0.102,0.211,0.163,28.1,12.3,Right
258,12988,안주형,Hanwha Eagles,166,0.218,0.279,0.232,23.5,6.6,Left
259,12589,김인환,Samsung Lions,143,0.237,0.301,0.275,22.4,7.0,Left
260,16124,이재상,Kiwoom Heroes,89,0.19,0.227,0.238,37.1,2.2,Right
261,14699,전의산,SSG Landers,63,0.088,0.159,0.14,23.8,7.9,Left
