,Unnamed: 0.1,Unnamed: 0,Rank_x,Name,Team_x,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA_x,RA9_x,rRA9_x,rRA9pf_x,FIP_x,WHIP,WAR.1,image_url,team,player_id,play_type,Rank_y,Team_y,FIP_y,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA_y,RA9_y,rRA9_y,rRA9pf_y,FIP_y.1,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,ID,Pit_side
186,186,186,187,김도윤,24 P,-0.01,2,0,2,2,0,0,0,0,0,0,2.1,1,2,2.0,12,2,1,0,0,2,1,0,1,0,0,0,3.86,7.71,7.71,8.32,7.11,1.71,-0.01,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14768,우투좌타,241,24 P,7.11,3.86,7.71,0.5,0.0,8.3,16.7,-8.3,0.25,60.0,3.86,7.71,7.71,8.32,7.11,7.25,6.4,-3.26,80.93,158.2,151.67,0.222,0.417,0.333,0.75,44,22.0,18.9,3.67,14768,Right
187,187,187,188,김사윤,24 P,-0.01,23,2,21,10,0,0,0,1,1,0,37.0,19,29,30.05,173,40,6,2,2,25,5,0,36,1,0,4,4.62,7.05,7.31,7.29,4.92,1.76,-0.01,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11364,좌투좌타,105,24 P,4.92,8.76,6.08,1.44,0.49,20.8,14.5,6.4,0.365,61.2,4.62,7.05,7.31,7.29,4.92,4.37,4.64,-0.3,93.74,134.05,101.48,0.288,0.407,0.403,0.81,727,31.6,19.6,4.2,11364,Left
188,188,188,189,박준우,24 P,-0.01,2,0,2,2,0,0,0,0,0,0,2.0,2,2,2.0,10,3,1,0,0,1,0,0,1,0,0,0,9.0,9.0,9.0,9.03,4.5,2.0,-0.01,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,16092,우투우타,75,24 P,4.5,4.5,4.5,1.0,0.0,10.0,10.0,0.0,0.375,50.0,9.0,9.0,9.0,9.03,4.5,4.6,5.4,4.5,173.41,157.77,88.1,0.333,0.4,0.444,0.844,32,16.0,16.0,3.2,16092,Right
189,189,189,190,윤정현,24 P,-0.02,2,0,2,2,0,0,0,0,0,0,3.0,3,3,3.0,15,4,0,0,0,2,0,0,1,0,0,0,9.0,9.0,9.0,9.41,5.43,2.0,-0.02,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14131,좌투좌타,156,24 P,5.43,3.0,6.0,0.5,0.0,6.7,13.3,-6.7,0.333,50.0,9.0,9.0,9.0,9.41,5.43,5.59,6.2,3.57,191.51,181.57,117.48,0.308,0.4,0.308,0.708,62,31.0,20.7,4.13,14131,Left
190,190,190,191,류진욱,24 P,-0.03,50,0,50,5,0,0,2,1,0,10,42.1,27,30,31.9,194,52,8,0,4,19,2,0,37,1,0,3,5.74,6.38,6.78,6.7,4.68,1.68,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11355,우투우타,94,24 P,4.68,7.87,4.04,1.95,0.85,19.1,9.8,9.3,0.369,64.2,5.74,6.38,6.78,6.7,4.68,3.64,4.29,1.06,118.76,125.61,98.33,0.308,0.38,0.426,0.806,760,15.2,18.0,3.92,11355,Right
191,191,191,192,김도규,24 P,-0.03,5,0,5,3,0,0,0,1,0,0,4.0,4,4,3.3,25,5,1,0,0,6,2,1,5,0,1,0,9.0,9.0,7.43,8.06,7.27,2.75,-0.03,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,13148,우투우타,243,24 P,7.27,11.25,13.5,0.83,0.0,20.0,24.0,-4.0,0.417,69.2,9.0,9.0,7.43,8.06,7.27,7.41,5.88,1.73,173.41,140.89,142.44,0.333,0.52,0.4,0.92,92,18.4,23.0,3.68,13148,Right
192,192,192,193,박준표,24 P,-0.03,8,0,8,2,0,0,0,0,0,1,6.0,4,4,5.2,29,10,2,0,0,3,1,0,4,0,0,0,6.0,6.0,7.8,7.71,4.6,2.17,-0.03,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11070,우언우타,81,24 P,4.6,6.0,4.5,1.33,0.0,13.8,10.3,3.4,0.476,71.4,6.0,6.0,7.8,7.71,4.6,4.69,4.99,1.4,121.69,141.71,94.8,0.4,0.483,0.48,0.963,88,11.0,14.7,3.03,11070,Right
193,193,193,194,손주환,24 P,-0.03,4,1,3,2,0,0,0,1,0,0,3.2,4,4,2.8,16,2,0,0,0,2,1,0,4,0,0,0,9.82,9.82,6.87,6.9,4.01,1.09,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16057,우투우타,40,24 P,4.01,9.82,4.91,2.0,0.0,25.0,12.5,12.5,0.222,20.0,9.82,9.82,6.87,6.9,4.01,4.08,3.9,5.81,203.14,129.37,84.28,0.154,0.313,0.154,0.467,65,16.3,17.7,4.06,16057,Right
194,194,194,195,임상현,24 P,-0.03,12,7,5,1,0,0,1,5,0,0,40.1,29,35,34.5,181,46,13,0,5,23,2,0,21,1,0,1,6.47,7.81,7.7,7.64,6.29,1.71,-0.03,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16053,우투우타,205,24 P,6.29,4.69,5.13,0.91,1.12,11.6,12.7,-1.1,0.315,56.3,6.47,7.81,7.7,7.64,6.29,4.96,5.53,0.18,133.88,143.24,132.34,0.303,0.392,0.487,0.879,667,55.6,16.5,3.69,16053,Right
195,195,195,196,유지성,24 P,-0.04,3,0,3,2,0,0,0,0,0,0,2.1,2,4,2.8,14,5,0,0,1,0,1,0,3,1,0,0,7.71,15.43,10.8,10.82,7.41,2.14,-0.04,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14607,좌투좌타,248,24 P,7.41,11.57,0.0,,3.86,21.4,0.0,21.4,0.444,40.0,7.71,15.43,10.8,10.82,7.41,2.4,2.83,0.3,156.46,199.0,152.81,0.385,0.429,0.615,1.044,51,17.0,21.9,3.64,14607,Left
196,196,196,197,이호성,24 P,-0.04,16,12,4,0,0,0,2,4,0,0,45.0,37,39,39.2,224,66,13,1,9,26,2,0,28,0,0,3,7.4,7.8,7.84,7.39,6.95,2.04,-0.04,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15496,우투우타,235,24 P,6.95,5.6,5.2,1.08,1.8,12.5,11.6,0.9,0.365,67.9,7.4,7.8,7.84,7.39,6.95,4.73,5.29,0.45,142.12,128.64,135.7,0.351,0.425,0.574,0.999,952,59.5,21.2,4.25,15496,Right
197,197,197,198,최채흥,24 P,-0.04,14,1,13,3,0,0,0,0,0,1,20.0,14,15,16.55,96,24,5,1,4,12,0,0,14,2,0,1,6.3,6.75,7.45,7.37,6.69,1.8,-0.04,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,13156,좌투좌타,227,24 P,6.69,6.3,5.4,1.17,1.8,14.6,12.5,2.1,0.313,70.0,6.3,6.75,7.45,7.37,6.69,4.44,5.15,-0.39,121.0,128.38,130.56,0.3,0.383,0.538,0.921,359,25.6,18.0,3.74,13156,Left
198,198,198,199,최성영,24 P,-0.05,24,4,20,7,0,0,2,0,1,1,46.2,30,37,37.5,218,65,10,0,7,17,0,0,29,3,0,0,5.79,7.14,7.23,7.25,5.3,1.76,-0.05,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12565,좌투좌타,140,24 P,5.3,5.59,3.28,1.71,1.35,13.3,7.8,5.5,0.348,62.5,5.79,7.14,7.23,7.25,5.3,3.9,4.74,0.48,119.7,135.96,111.54,0.33,0.376,0.487,0.863,809,33.7,17.3,3.71,12565,Left
199,199,199,200,김택형,24 P,-0.05,6,0,6,0,0,0,0,1,0,0,7.0,7,7,6.15,37,10,1,0,1,6,1,1,1,0,1,1,9.0,9.0,7.91,7.9,8.64,2.29,-0.05,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,11373,좌투좌타,268,24 P,8.64,1.29,7.71,0.17,1.29,2.7,16.2,-13.5,0.321,62.5,9.0,9.0,7.91,7.9,8.64,7.05,7.02,0.36,175.51,139.65,171.27,0.333,0.459,0.467,0.926,130,21.7,18.6,3.51,11373,Left
200,200,200,201,채원후,24 P,-0.06,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.0,18,6,2,0,0,3,0,0,2,0,0,2,12.0,12.0,12.0,11.86,5.63,3.0,-0.06,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11387,우투좌타,171,24 P,5.63,6.0,9.0,0.67,0.0,11.1,16.7,-5.6,0.462,55.6,12.0,12.0,12.0,11.86,5.63,5.79,6.07,6.37,248.28,222.52,118.43,0.4,0.5,0.533,1.033,73,24.3,24.3,4.06,11387,Right
201,201,201,202,홍민기,24 P,-0.06,3,1,2,0,0,0,0,0,0,0,3.2,5,7,5.15,24,8,3,0,0,1,2,0,2,2,0,3,12.27,17.18,12.64,11.95,5.37,2.45,-0.06,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,14625,좌투좌타,148,24 P,5.37,4.91,2.46,2.0,0.0,8.3,4.2,4.2,0.421,36.4,12.27,17.18,12.64,11.95,5.37,5.55,4.9,6.9,236.47,208.78,105.19,0.381,0.458,0.524,0.982,99,33.0,27.0,4.13,14625,Left
202,202,202,203,배재환,24 P,-0.07,20,0,20,5,0,0,0,1,0,0,19.2,16,17,16.5,91,20,2,0,5,15,0,1,13,0,0,0,7.32,7.78,7.55,7.56,7.94,1.78,-0.07,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,11248,우투우타,259,24 P,7.94,5.95,6.86,0.87,2.29,14.3,16.5,-2.2,0.268,64.3,7.32,7.78,7.55,7.56,7.94,5.04,5.66,-0.61,151.49,141.87,166.87,0.274,0.393,0.507,0.9,388,19.4,19.7,4.26,11248,Right
203,203,203,204,박소준,24 P,-0.07,1,1,0,0,0,0,0,1,0,0,4.0,5,5,5.0,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.2,10.45,2.0,-0.07,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,11491,우투우타,275,24 P,10.45,4.5,4.5,1.0,4.5,10.0,10.0,0.0,0.286,60.0,11.25,11.25,11.25,10.2,10.45,4.61,5.4,0.8,236.03,194.04,222.79,0.333,0.4,0.667,1.067,71,71.0,17.8,3.55,11491,Right
204,204,204,205,김민규,24 P,-0.07,7,0,7,3,0,0,0,0,0,0,6.1,4,4,6.05,30,8,1,0,0,3,0,0,2,0,0,1,5.68,5.68,8.6,8.9,4.88,1.74,-0.07,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,16049,우투우타,101,24 P,4.88,2.84,4.26,0.67,0.0,6.7,10.0,-3.3,0.333,63.6,5.68,5.68,8.6,8.9,4.88,4.98,5.8,0.81,117.6,166.9,102.57,0.32,0.379,0.36,0.739,112,16.0,17.7,3.73,16049,Right
205,205,205,206,배민서,24 P,-0.08,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,16.17,8.28,4.2,-0.08,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14158,우언우타,264,24 P,8.28,5.4,16.2,0.33,0.0,9.1,27.3,-18.2,0.571,57.1,16.2,16.2,16.2,16.17,8.28,8.36,7.58,7.92,327.73,296.64,170.21,0.5,0.636,0.625,1.261,41,41.0,24.6,3.73,14158,Right
206,206,206,207,서의태,24 P,-0.08,11,0,11,2,0,0,1,0,0,0,7.2,8,8,7.3,34,5,1,0,1,8,0,0,7,0,0,1,9.39,9.39,8.57,8.78,6.7,1.7,-0.08,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12574,좌투좌타,228,24 P,6.7,8.22,9.39,0.88,1.17,20.6,23.5,-2.9,0.222,41.7,9.39,9.39,8.57,8.78,6.7,5.19,5.75,2.69,194.3,164.72,140.95,0.192,0.382,0.346,0.728,149,13.5,19.4,4.38,12574,Left
207,207,207,208,문성현,24 P,-0.09,42,0,42,12,0,0,1,2,3,2,38.1,28,28,29.55,189,54,6,2,3,25,2,0,31,1,0,2,6.57,6.57,6.94,7.26,5.29,2.06,-0.09,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,10437,우투우타,138,24 P,5.29,7.28,5.87,1.24,0.7,16.4,13.2,3.2,0.402,68.8,6.57,6.57,6.94,7.26,5.29,4.48,5.02,1.28,139.89,139.98,114.44,0.342,0.431,0.462,0.893,751,17.9,19.6,3.97,10437,Right
208,208,208,209,장지훈,24 P,-0.09,18,0,18,7,0,0,0,0,0,0,21.1,16,16,18.4,101,29,6,0,3,10,1,0,10,1,0,0,6.75,6.75,7.76,7.62,6.3,1.83,-0.09,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,14804,우투우타,206,24 P,6.3,4.22,4.22,1.0,1.27,9.9,9.9,0.0,0.342,66.7,6.75,6.75,7.76,7.62,6.3,4.76,5.4,0.45,131.63,134.65,124.84,0.33,0.4,0.5,0.9,372,20.7,17.4,3.68,14804,Right
209,209,209,210,박세진,24 P,-0.09,6,0,6,3,0,0,0,0,0,0,5.1,2,4,6.2,25,7,1,0,0,4,0,0,2,1,0,0,3.38,6.75,10.46,10.37,5.59,2.06,-0.09,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,12572,좌투좌타,169,24 P,5.59,3.38,6.75,0.5,0.0,8.0,16.0,-8.0,0.368,63.6,3.38,6.75,10.46,10.37,5.59,5.7,6.36,-2.21,66.87,186.38,112.49,0.333,0.44,0.381,0.821,107,17.8,20.1,4.28,12572,Left
210,210,210,211,성재헌,24 P,-0.09,30,1,29,3,0,0,0,0,0,1,32.0,26,29,27.9,159,46,13,2,1,16,5,2,20,3,1,2,7.31,8.16,7.85,7.73,4.85,1.94,-0.09,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14667,좌투좌타,98,24 P,4.85,5.63,4.5,1.25,0.28,12.6,10.1,2.5,0.395,57.6,7.31,8.16,7.85,7.73,4.85,4.58,5.1,2.46,144.89,138.8,97.64,0.351,0.429,0.504,0.933,564,18.8,17.6,3.55,14667,Left
