,Unnamed: 0.1,Unnamed: 0,Rank_x,Name,Team_x,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA_x,RA9_x,rRA9_x,rRA9pf_x,FIP_x,WHIP,WAR.1,image_url,team,player_id,play_type,Rank_y,Team_y,FIP_y,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA_y,RA9_y,rRA9_y,rRA9pf_y,FIP_y.1,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,ID,Pit_side
221,221,221,222,이채호,24 P,-0.13,9,0,9,1,0,0,0,0,0,0,6.2,7,7,7.0,37,13,0,1,2,3,1,0,5,0,0,1,9.45,9.45,9.45,9.51,7.75,2.4,-0.13,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,13130,우언우타,256,24 P,7.75,6.75,4.05,1.67,2.7,13.5,8.1,5.4,0.423,71.4,9.45,9.45,9.45,9.51,7.75,4.34,4.75,1.7,187.24,170.78,156.14,0.406,0.459,0.656,1.115,151,16.8,22.7,4.08,13130,Right
222,222,222,223,장지수,24 P,-0.14,13,0,13,7,0,0,0,0,0,0,14.0,17,18,14.75,75,23,5,2,0,10,2,2,11,1,0,2,10.93,11.57,9.48,9.15,4.45,2.36,-0.14,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,14178,우투우타,71,24 P,4.45,7.07,6.43,1.1,0.0,14.7,13.3,1.3,0.442,48.6,10.93,11.57,9.48,9.15,4.45,4.59,5.24,6.48,221.09,167.82,91.47,0.365,0.467,0.508,0.975,284,21.8,20.3,3.79,14178,Right
223,223,223,224,소이현,24 P,-0.15,4,0,4,3,0,0,0,0,0,0,3.1,5,7,5.95,19,6,3,0,0,1,1,0,1,1,0,0,13.5,18.9,16.07,16.65,5.31,2.1,-0.15,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12900,우투우타,142,24 P,5.31,2.7,2.7,1.0,0.0,5.3,5.3,0.0,0.375,12.5,13.5,18.9,16.07,16.65,5.31,5.53,5.4,8.19,279.31,312.37,111.63,0.353,0.421,0.529,0.95,64,16.0,19.2,3.37,12900,Right
224,224,224,225,김민재,24 P,-0.15,4,0,4,4,0,0,0,0,0,0,4.0,7,7,7.0,22,9,0,0,3,1,1,0,3,0,0,0,15.75,15.75,15.75,14.94,12.8,2.5,-0.15,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,16083,우투우타,278,24 P,12.8,6.75,2.25,3.0,6.75,13.6,4.5,9.1,0.429,57.1,15.75,15.75,15.75,14.94,12.8,4.05,4.31,2.95,319.44,274.82,263.81,0.45,0.5,0.9,1.4,85,21.3,21.3,3.86,16083,Right
225,225,225,226,고효준,24 P,-0.16,26,0,26,2,0,0,2,1,0,5,22.0,20,21,19.25,109,23,4,0,4,20,1,1,27,1,0,2,8.18,8.59,7.88,7.36,6.25,1.95,-0.16,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,10124,좌투좌타,202,24 P,6.25,11.05,8.18,1.35,1.64,24.8,18.3,6.4,0.339,60.5,8.18,8.59,7.88,7.36,6.25,4.18,4.63,1.93,159.55,130.1,123.94,0.271,0.407,0.459,0.866,482,18.5,21.9,4.42,10124,Left
226,226,226,227,임기영,24 P,-0.16,37,3,34,3,0,0,6,2,0,2,45.2,32,35,37.2,218,61,12,0,8,17,1,1,36,4,1,1,6.31,6.9,7.33,7.37,5.47,1.71,-0.16,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10909,우언우타,160,24 P,5.47,7.1,3.35,2.12,1.58,16.5,7.8,8.7,0.344,64.7,6.31,6.9,7.33,7.37,5.47,3.52,4.35,0.84,127.91,135.58,112.69,0.313,0.366,0.497,0.863,866,23.4,19.0,3.97,10909,Right
227,227,227,228,김대호,24 P,-0.17,1,1,0,0,0,0,0,1,0,0,4.0,5,6,6.0,22,7,2,0,1,2,0,0,1,1,0,0,11.25,13.5,13.5,13.55,8.1,2.25,-0.17,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,15882,우투우타,260,24 P,8.1,2.25,4.5,0.5,2.25,4.5,9.1,-4.5,0.333,37.5,11.25,13.5,13.5,13.55,8.1,5.3,5.95,3.15,216.07,235.89,158.08,0.35,0.409,0.6,1.009,87,87.0,21.8,3.95,15882,Right
228,228,228,229,진해수,24 P,-0.17,54,0,54,3,0,0,2,1,0,5,27.2,19,21,23.55,128,36,3,0,5,10,3,1,22,0,0,2,6.18,6.83,7.66,7.29,5.82,1.66,-0.17,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,10075,좌투좌타,180,24 P,5.82,7.16,3.25,2.2,1.63,17.2,7.8,9.4,0.352,66.7,6.18,6.83,7.66,7.29,5.82,3.76,4.28,0.36,119.09,127.36,113.93,0.316,0.383,0.474,0.857,471,8.7,17.0,3.68,10075,Left
229,229,229,230,주권,24 P,-0.18,48,1,47,13,0,0,1,1,0,0,58.0,43,48,49.9,254,78,14,2,7,11,3,0,31,2,0,0,6.67,7.45,7.74,7.6,5.05,1.53,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,11323,우투우타,117,24 P,5.05,4.81,1.71,2.82,1.09,12.2,4.3,7.9,0.362,53.7,6.67,7.45,7.74,7.6,5.05,3.72,4.46,1.62,132.21,136.61,101.64,0.342,0.371,0.513,0.884,919,19.1,15.8,3.62,11323,Right
230,230,230,231,강건,24 P,-0.18,4,1,3,2,0,0,0,1,0,0,4.0,5,5,5.85,24,8,0,1,1,4,1,0,3,0,0,0,11.25,11.25,13.16,13.69,9.17,3.0,-0.18,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,15527,우투우타,272,24 P,9.17,6.75,9.0,0.75,2.25,12.5,16.7,-4.2,0.467,66.7,11.25,11.25,13.16,13.69,9.17,6.33,5.9,2.08,222.91,246.02,184.73,0.421,0.542,0.684,1.226,99,24.8,24.8,4.13,15527,Right
231,231,231,232,박범준,24 P,-0.19,5,0,5,3,0,0,0,1,0,0,5.1,8,8,7.3,28,7,2,0,1,4,1,0,8,0,0,2,13.5,13.5,12.32,11.88,5.59,2.06,-0.19,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16133,우투좌타,169,24 P,5.59,13.5,6.75,2.0,1.69,28.6,14.3,14.3,0.429,36.4,13.5,13.5,12.32,11.88,5.59,3.49,3.69,7.91,287.26,229.19,120.81,0.333,0.429,0.571,1.0,119,23.8,22.3,4.25,16133,Right
232,232,232,233,김태현,24 P,-0.2,11,0,11,2,0,0,0,0,0,0,10.0,8,10,11.2,50,14,4,0,3,7,0,0,3,2,0,1,7.2,9.0,10.08,10.43,9.19,2.1,-0.2,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,12898,좌투좌타,273,24 P,9.19,2.7,6.3,0.43,2.7,6.0,14.0,-8.0,0.314,64.7,7.2,9.0,10.08,10.43,9.19,5.78,6.36,-1.99,148.97,195.74,193.21,0.35,0.438,0.675,1.113,187,17.0,18.7,3.74,12898,Left
233,233,233,234,신헌민,24 P,-0.21,3,0,3,3,0,0,0,0,0,0,3.0,6,7,7.0,18,7,2,0,2,3,1,0,0,0,0,0,18.0,21.0,21.0,20.88,16.27,3.33,-0.21,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,15024,우투우타,279,24 P,16.27,0.0,9.0,0.0,6.0,0.0,16.7,-16.7,0.417,50.0,18.0,21.0,21.0,20.88,16.27,8.46,7.4,1.73,351.02,369.15,322.35,0.538,0.611,1.154,1.765,53,17.7,17.7,2.94,15024,Right
234,234,234,235,전용주,24 P,-0.22,4,0,4,0,0,0,0,0,0,0,1.2,2,3,3.15,11,2,0,0,0,3,1,0,4,0,0,0,10.8,16.2,17.01,17.02,5.64,3.0,-0.22,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14106,좌투좌타,172,24 P,5.64,21.6,16.2,1.33,0.0,36.4,27.3,9.1,0.667,50.0,10.8,16.2,17.01,17.02,5.64,5.68,4.31,5.16,213.99,305.8,113.55,0.286,0.545,0.286,0.831,50,12.5,30.0,4.55,14106,Left
235,235,235,236,최동환,24 P,-0.23,26,0,26,7,0,0,0,1,0,2,22.0,17,18,19.7,105,35,6,0,4,9,0,0,14,1,0,0,6.95,7.36,8.06,8.52,6.04,2.0,-0.23,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,10535,우투우타,193,24 P,6.04,5.73,3.68,1.56,1.64,13.3,8.6,4.8,0.397,68.4,6.95,7.36,8.06,8.52,6.04,4.04,4.83,0.91,145.91,162.1,128.79,0.372,0.419,0.564,0.983,392,15.1,17.8,3.73,10535,Right
236,236,236,237,김건국,24 P,-0.23,20,3,17,3,0,0,0,1,0,0,34.1,30,33,31.1,165,48,8,0,5,14,2,0,20,3,0,3,7.86,8.65,8.15,8.14,5.92,1.81,-0.23,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,12944,우투우타,189,24 P,5.92,5.24,3.67,1.43,1.31,12.1,8.5,3.6,0.347,54.4,7.86,8.65,8.15,8.14,5.92,4.31,4.96,1.94,159.5,149.72,122.03,0.327,0.388,0.483,0.871,594,29.7,17.3,3.6,12944,Right
237,237,237,238,김윤수,24 P,-0.24,4,0,4,2,0,0,0,0,0,0,5.1,6,6,6.7,26,6,0,0,0,7,0,0,2,0,0,1,10.13,10.13,11.31,10.93,7.33,2.44,-0.24,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,13162,우투우타,244,24 P,7.33,3.38,11.81,0.29,0.0,7.7,26.9,-19.2,0.375,53.8,10.13,10.13,11.31,10.93,7.33,7.43,7.71,2.79,194.46,190.31,143.08,0.375,0.52,0.375,0.895,105,26.3,19.7,4.04,13162,Right
238,238,238,239,한차현,24 P,-0.24,10,5,5,2,0,0,0,4,0,0,19.0,21,22,19.7,103,29,4,1,4,18,0,0,17,1,0,2,9.95,10.42,9.33,9.4,7.4,2.47,-0.24,https://statiz.sporki.com/data/team/ci/2024/12001.svg,Doosan Bears,14776,우투우타,247,24 P,7.4,8.05,8.53,0.94,1.9,16.5,17.5,-1.0,0.391,61.0,9.95,10.42,9.33,9.4,7.4,5.03,5.52,2.54,197.1,168.81,149.1,0.345,0.456,0.56,1.016,429,42.9,22.6,4.17,14776,Right
239,239,239,240,김동주,24 P,-0.25,14,9,5,3,1,0,1,3,0,0,50.0,38,46,42.45,244,67,12,3,6,21,4,0,35,3,1,7,6.84,8.28,7.64,7.9,5.43,1.76,-0.25,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14769,우투우타,155,24 P,5.43,6.3,3.78,1.67,1.08,14.3,8.6,5.7,0.345,54.8,6.84,8.28,7.64,7.9,5.43,4.11,4.71,1.41,143.51,150.27,115.72,0.315,0.379,0.484,0.863,914,65.3,18.3,3.75,14769,Right
240,240,240,241,김주온,24 P,-0.26,2,0,2,2,0,0,0,0,0,0,4.2,8,8,9.55,25,8,1,0,2,3,0,0,4,0,0,0,15.43,15.43,18.42,18.21,9.15,2.36,-0.26,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,13057,우투우타,271,24 P,9.15,7.71,5.79,1.33,3.86,16.0,12.0,4.0,0.375,37.5,15.43,15.43,18.42,18.21,9.15,4.2,4.92,6.28,300.87,321.91,181.32,0.381,0.44,0.714,1.154,98,49.0,21.0,3.92,13057,Right
241,241,241,242,윤대경,24 P,-0.26,7,0,7,1,0,0,0,0,0,0,7.2,9,9,10.2,40,10,3,0,1,6,1,1,7,0,0,0,10.57,10.57,11.97,11.77,6.3,2.09,-0.26,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,11110,우투우타,206,24 P,6.3,8.22,7.04,1.17,1.17,17.5,15.0,2.5,0.36,50.0,10.57,10.57,11.97,11.77,6.3,4.93,5.1,4.27,213.74,215.91,129.51,0.345,0.425,0.552,0.977,149,21.3,19.4,3.73,11110,Right
242,242,242,243,목지훈,24 P,-0.26,3,3,0,0,0,0,0,1,0,0,9.0,12,12,11.15,52,15,6,0,1,10,2,0,3,1,0,1,12.0,12.0,11.15,11.79,8.82,2.78,-0.26,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15453,우투우타,270,24 P,8.82,3.0,10.0,0.3,1.0,5.8,19.2,-13.5,0.389,57.7,12.0,12.0,11.15,11.79,8.82,7.63,7.02,3.18,248.28,221.24,185.48,0.375,0.519,0.6,1.119,215,71.7,23.9,4.13,15453,Right
243,243,243,244,이믿음,24 P,-0.27,1,1,0,0,0,0,0,1,0,0,4.0,7,7,7.0,27,11,2,0,0,4,0,0,2,0,0,0,15.75,15.75,15.75,16.98,6.05,3.75,-0.27,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,14847,우투우타,194,24 P,6.05,4.5,9.0,0.5,0.0,7.4,14.8,-7.4,0.524,53.3,15.75,15.75,15.75,16.98,6.05,6.3,6.29,9.7,330.45,323.0,128.98,0.478,0.556,0.565,1.121,96,96.0,24.0,3.56,14847,Right
244,244,244,245,현도훈,24 P,-0.3,8,0,8,5,0,0,0,1,0,0,10.0,10,11,12.05,50,15,3,1,2,6,0,0,8,2,0,1,9.0,9.9,10.85,9.99,6.44,2.1,-0.3,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,13271,우투좌타,216,24 P,6.44,7.2,5.4,1.33,1.8,16.0,12.0,4.0,0.382,55.6,9.0,9.9,10.85,9.99,6.44,4.16,4.92,2.56,173.41,174.49,126.09,0.341,0.42,0.591,1.011,193,24.1,19.3,3.86,13271,Right
245,245,245,246,이형범,24 P,-0.3,16,0,16,5,0,0,0,1,0,2,15.0,13,17,15.8,83,26,4,0,2,7,5,1,9,2,0,0,7.8,10.2,9.48,9.66,6.77,2.2,-0.3,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,11159,우투우타,232,24 P,6.77,5.4,4.2,1.29,1.2,10.8,8.4,2.4,0.4,60.0,7.8,10.2,9.48,9.66,6.77,5.28,5.11,1.03,158.2,177.63,139.46,0.371,0.458,0.514,0.972,296,18.5,19.7,3.57,11159,Right
246,246,246,247,이명종,24 P,-0.3,10,0,10,7,0,0,0,1,0,0,11.0,10,10,13.3,58,20,2,0,4,5,0,1,4,1,0,1,8.18,8.18,10.88,11.51,8.74,2.27,-0.3,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15073,우투우타,269,24 P,8.74,3.27,4.09,0.8,3.27,6.9,8.6,-1.7,0.364,78.9,8.18,8.18,10.88,11.51,8.74,4.6,5.61,-0.56,174.1,222.03,189.1,0.408,0.439,0.694,1.133,219,21.9,19.9,3.78,15073,Right
247,247,247,248,이인복,24 P,-0.31,8,6,2,1,0,0,0,3,0,0,33.0,35,35,36.05,159,49,14,0,10,13,3,0,20,1,0,4,9.55,9.55,9.83,9.35,7.79,1.88,-0.31,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,11232,우투우타,257,24 P,7.79,5.46,3.55,1.54,2.73,12.6,8.2,4.4,0.348,58.8,9.55,9.55,9.83,9.35,7.79,4.31,4.87,1.75,183.92,163.29,152.6,0.358,0.411,0.679,1.09,580,72.5,17.6,3.65,11232,Right
248,248,248,249,김현수,24 P,-0.31,5,0,5,4,0,0,0,0,0,0,5.0,10,10,10.15,28,7,4,0,0,5,1,0,4,0,0,2,18.0,18.0,18.27,18.33,5.92,2.4,-0.31,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,14162,우투우타,188,24 P,5.92,7.2,9.0,0.8,0.0,14.3,17.9,-3.6,0.389,23.1,18.0,18.0,18.27,18.33,5.92,6.08,5.83,12.08,365.08,337.13,122.01,0.333,0.464,0.524,0.988,105,21.0,21.0,3.75,14162,Right
249,249,249,250,김호준,24 P,-0.31,16,1,15,6,0,0,1,2,0,0,13.1,13,14,15.0,68,22,6,1,1,4,5,0,6,0,0,0,8.78,9.45,10.13,9.94,6.06,1.95,-0.31,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,13268,좌투좌타,195,24 P,6.06,4.05,2.7,1.5,0.68,8.8,5.9,2.9,0.429,56.7,8.78,9.45,10.13,9.94,6.06,5.29,5.05,2.72,184.11,189.0,129.19,0.393,0.477,0.589,1.066,237,14.8,17.8,3.49,13268,Left
250,250,250,251,이승민,24 P,-0.33,25,8,17,6,0,0,1,4,0,0,47.1,45,48,45.25,237,71,8,1,14,26,3,0,23,5,0,1,8.56,9.13,8.6,8.27,8.4,2.05,-0.33,https://statiz.sporki.com/data/team/ci/2024/1001.svg,Hanwha Eagles,14616,좌투좌타,266,24 P,8.4,4.37,4.94,0.88,2.66,9.7,11.0,-1.3,0.333,65.0,8.56,9.13,8.6,8.27,8.4,5.02,5.55,0.15,164.33,144.02,164.02,0.343,0.422,0.594,1.016,920,36.8,19.4,3.88,14616,Left
251,251,251,252,김영준,24 P,-0.33,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,9.98,9.77,10.23,5.58,1.96,-0.33,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,13102,우투우타,167,24 P,5.58,6.46,5.28,1.22,1.17,14.5,11.8,2.6,0.359,48.1,8.22,9.98,9.77,10.23,5.58,4.15,5.08,2.64,172.41,194.57,118.87,0.318,0.4,0.455,0.855,325,23.2,21.2,4.28,13102,Right
252,252,252,253,박명근,24 P,-0.34,33,0,33,3,0,0,2,2,1,8,25.1,18,20,20.65,120,29,4,0,6,12,3,0,13,3,0,0,6.39,7.11,7.34,7.79,7.57,1.62,-0.34,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,15486,우언우타,253,24 P,7.57,4.62,4.26,1.08,2.13,10.8,10.0,0.8,0.274,66.7,6.39,7.11,7.34,7.79,7.57,4.89,5.3,-1.18,134.17,148.25,161.41,0.287,0.373,0.505,0.878,446,13.5,17.6,3.72,15486,Right
253,253,253,254,서진용,24 P,-0.35,51,0,51,3,0,0,0,1,0,6,47.0,29,34,40.85,211,52,11,1,5,26,0,2,38,3,0,4,5.55,6.51,7.82,7.52,5.09,1.66,-0.35,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,10784,우투우타,119,24 P,5.09,7.28,4.98,1.46,0.96,18.0,12.3,5.7,0.343,62.0,5.55,6.51,7.82,7.52,5.09,3.91,4.72,0.46,108.29,132.95,100.93,0.291,0.379,0.447,0.826,800,15.7,17.0,3.79,10784,Right
254,254,254,255,전준표,24 P,-0.35,18,5,13,4,0,0,2,4,0,0,27.2,21,28,27.0,144,35,4,0,4,20,5,0,18,4,0,4,6.83,9.11,8.78,8.93,7.09,1.99,-0.35,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,16122,우투우타,240,24 P,7.09,5.86,6.51,0.9,1.3,12.5,13.9,-1.4,0.32,59.3,6.83,9.11,8.78,8.93,7.09,5.48,5.57,-0.26,145.36,172.22,153.41,0.294,0.417,0.429,0.846,570,31.7,20.6,3.96,16122,Right
255,255,255,256,송재영,24 P,-0.36,19,0,19,4,0,0,0,1,1,3,8.1,10,10,10.4,40,9,3,0,2,5,1,0,9,0,1,1,10.8,10.8,11.23,10.38,6.59,1.68,-0.36,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,14794,좌투좌타,223,24 P,6.59,9.72,5.4,1.8,2.16,22.5,12.5,10.0,0.333,41.7,10.8,10.8,11.23,10.38,6.59,3.84,4.2,4.21,208.1,181.43,128.99,0.29,0.395,0.581,0.976,162,8.5,19.4,4.05,14794,Left
256,256,256,257,정지헌,24 P,-0.41,17,0,17,4,0,0,0,0,0,1,12.1,16,18,15.65,69,19,2,0,2,11,3,0,11,2,0,3,11.68,13.14,11.42,11.87,7.42,2.43,-0.41,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,16017,우언우타,249,24 P,7.42,8.03,8.03,1.0,1.46,15.9,15.9,0.0,0.405,50.0,11.68,13.14,11.42,11.87,7.42,5.61,5.4,4.26,244.96,225.81,158.17,0.352,0.478,0.5,0.978,272,16.0,22.1,3.94,16017,Right
257,257,257,258,전사민,24 P,-0.45,17,0,17,9,0,0,0,0,0,0,23.2,25,25,26.05,128,39,6,1,3,17,3,0,17,0,2,4,9.51,9.51,9.91,10.02,6.53,2.37,-0.45,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14156,우투우타,220,24 P,6.53,6.47,6.47,1.0,1.14,13.3,13.3,0.0,0.414,61.8,9.51,9.51,9.91,10.02,6.53,5.14,5.4,2.98,196.7,187.93,137.33,0.371,0.465,0.533,0.998,479,28.2,20.2,3.74,14156,Right
258,258,258,259,전루건,24 P,-0.45,6,0,6,1,0,0,0,0,0,0,5.2,14,14,14.15,44,15,3,0,0,9,4,0,0,0,0,0,22.24,22.24,22.47,21.89,11.31,4.24,-0.45,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,14171,우투우타,277,24 P,11.31,0.0,14.29,0.0,0.0,0.0,20.5,-20.5,0.517,50.0,22.24,22.24,22.47,21.89,11.31,11.5,7.85,10.92,460.04,410.68,237.82,0.556,0.667,0.667,1.334,174,29.0,30.7,3.95,14171,Right
259,259,259,260,백승현,24 P,-0.5,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,9.45,8.64,8.92,6.9,2.06,-0.5,https://statiz.sporki.com/data/team/ci/2024/5002.svg,Lotte Giants,13009,우투우타,234,24 P,6.9,4.73,7.43,0.64,1.01,10.4,16.3,-5.9,0.33,54.7,9.11,9.45,8.64,8.92,6.9,5.7,6.11,2.21,191.19,169.78,147.1,0.314,0.432,0.467,0.899,536,14.9,20.1,3.97,13009,Right
260,260,260,261,이태양,24 P,-0.5,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,13.89,9.43,2.04,-0.5,https://statiz.sporki.com/data/team/ci/2024/7002.svg,Samsung Lions,10609,우투좌타,274,24 P,9.43,1.93,1.93,1.0,3.86,4.2,4.2,0.0,0.325,46.2,11.57,12.54,13.69,13.89,9.43,4.49,5.4,2.14,234.09,254.86,193.83,0.37,0.396,0.696,1.092,180,18.0,19.3,3.75,10609,Right
261,261,261,262,오석주,24 P,-0.5,17,0,17,7,0,0,1,1,0,0,17.0,21,21,20.15,92,28,4,1,0,11,3,1,16,1,0,2,11.12,11.12,10.67,11.22,4.4,2.29,-0.5,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,12860,우투우타,66,24 P,4.4,8.47,5.82,1.45,0.0,17.4,12.0,5.4,0.459,50.0,11.12,11.12,10.67,11.22,4.4,4.53,4.75,6.72,236.57,216.42,95.13,0.368,0.462,0.447,0.909,343,20.2,20.2,3.73,12860,Right
262,262,262,263,조영건,24 P,-0.55,25,3,22,3,0,0,2,1,0,1,39.1,35,39,35.55,197,51,10,1,7,24,1,0,31,3,0,3,8.01,8.92,8.13,8.83,6.01,1.91,-0.55,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,14132,우투우타,192,24 P,6.01,7.09,5.49,1.29,1.6,15.7,12.2,3.6,0.326,56.1,8.01,8.92,8.13,8.83,6.01,4.34,4.97,1.99,170.41,170.28,130.06,0.304,0.388,0.5,0.888,734,29.4,18.7,3.73,14132,Right
263,263,263,264,이교훈,24 P,-0.56,33,0,33,7,0,0,1,1,0,1,35.1,29,32,32.65,166,43,11,1,7,17,2,0,27,2,0,0,7.39,8.15,8.32,8.78,6.31,1.7,-0.56,https://statiz.sporki.com/data/team/ci/2024/6002.svg,NC Dinos,14173,좌투좌타,208,24 P,6.31,6.88,4.33,1.59,1.78,16.3,10.2,6.0,0.324,57.7,7.39,8.15,8.32,8.78,6.31,4.06,4.68,1.07,154.98,167.11,134.61,0.297,0.378,0.531,0.909,653,19.8,18.5,3.93,14173,Left
264,264,264,265,이건욱,24 P,-0.58,10,2,8,1,0,0,1,2,0,0,19.0,24,25,24.3,106,34,4,0,5,15,2,0,17,2,0,3,11.37,11.84,11.51,11.46,7.87,2.58,-0.58,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,11242,우투우타,258,24 P,7.87,8.05,7.11,1.13,2.37,16.0,14.2,1.9,0.433,59.1,11.37,11.84,11.51,11.46,7.87,4.88,5.17,3.5,221.69,202.67,155.92,0.386,0.481,0.602,1.083,445,44.5,23.4,4.2,11242,Right
265,265,265,266,김대유,24 P,-0.61,37,0,37,5,0,0,0,0,0,8,25.0,23,23,26.45,122,35,5,0,4,12,2,0,26,0,0,1,8.28,8.28,9.52,9.57,5.24,1.88,-0.61,https://statiz.sporki.com/data/team/ci/2024/2002.svg,KIA Tigers,10706,좌투좌타,134,24 P,5.24,9.36,4.32,2.17,1.44,21.3,9.8,11.5,0.397,60.5,8.28,8.28,9.52,9.57,5.24,3.46,4.02,3.04,167.94,175.92,107.99,0.34,0.402,0.505,0.907,465,12.6,18.6,3.81,10706,Left
266,266,266,267,이준호,24 P,-0.62,38,2,36,12,0,0,3,5,0,2,49.1,41,41,46.4,243,71,11,0,7,26,3,0,42,1,0,0,7.48,7.48,8.46,8.64,5.58,1.97,-0.62,https://statiz.sporki.com/data/team/ci/2024/11001.svg,KT Wiz,15455,우투우타,168,24 P,5.58,7.66,4.74,1.62,1.28,17.3,10.7,6.6,0.393,65.6,7.48,7.48,8.46,8.64,5.58,4.02,4.61,1.9,154.75,162.17,117.36,0.34,0.415,0.493,0.908,1019,26.8,20.7,4.19,15455,Right
267,267,267,268,나균안,24 P,-0.64,26,14,12,4,0,0,4,7,0,0,73.0,69,73,73.5,380,114,19,0,15,47,5,0,74,2,0,10,8.51,9.0,9.06,8.73,6.32,2.21,-0.64,https://statiz.sporki.com/data/team/ci/2024/3001.svg,LG Twins,12930,우투우타,209,24 P,6.32,9.12,5.8,1.57,1.85,19.5,12.4,7.1,0.42,64.1,8.51,9.0,9.06,8.73,6.32,3.99,4.55,2.19,163.91,152.53,123.72,0.353,0.44,0.551,0.991,1491,57.3,20.4,3.92,12930,Right
268,268,268,269,윤석원,24 P,-0.66,11,1,10,3,0,0,0,1,0,0,17.1,22,24,24.2,88,31,11,0,3,7,2,0,1,2,1,3,11.42,12.46,12.57,12.91,7.72,2.19,-0.66,https://statiz.sporki.com/data/team/ci/2024/10001.svg,Kiwoom Heroes,15071,좌투좌타,255,24 P,7.72,0.52,3.64,0.14,1.56,1.1,8.0,-6.8,0.378,44.4,11.42,12.46,12.57,12.91,7.72,5.85,6.22,3.7,243.07,249.15,167.03,0.413,0.46,0.68,1.14,321,29.2,18.5,3.65,15071,Left
269,269,269,270,최민준,24 P,-0.67,32,0,32,3,0,0,1,0,0,0,39.1,34,36,41.2,202,61,9,1,9,24,3,1,40,2,0,1,7.78,8.24,9.43,9.17,6.43,2.16,-0.67,https://statiz.sporki.com/data/team/ci/2024/9002.svg,SSG Landers,13126,우투우타,214,24 P,6.43,9.15,5.49,1.67,2.06,19.8,11.9,7.9,0.419,69.3,7.78,8.24,9.43,9.17,6.43,3.83,4.45,1.35,151.71,162.09,127.41,0.353,0.44,0.572,1.012,782,24.4,19.9,3.87,13126,Right
